CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,SSA,LATITUDE,LONGITUDE,LOCATION
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00003153,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,1000 W BELMONT AVE,60657,1169046.75259144,1921426.03468716,44,19,6,17,41.940020360226804,-87.65417210636889,"{'latitude': '41.940020360226804', 'longitude': '-87.65417210636889', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00001242,Pot Hole in Street,Dispatch Crew,Completed,0,1005 W 63RD ST,60621,1170672.40338985,1863043.98499666,16,7,68,,41.77956540902178,-87.64988723339546,"{'latitude': '41.77956540902178', 'longitude': '-87.64988723339546', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00001445,Pot Hole in Street,Dispatch Crew,Pothole Patched,5,8412 S YATES BLVD,60617,1193634.91538449,1849664.0165259,8,4,46,,41.742214696576944,-87.5662376603757,"{'latitude': '41.742214696576944', 'longitude': '-87.5662376603757', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002285,Pot Hole in Street,Dispatch Crew,Pothole Patched,29,7600 S EAST END AVE,60649,1188854.28006683,1854923.79008133,8,4,43,,41.756880566457546,-87.58358699031866,"{'latitude': '41.756880566457546', 'longitude': '-87.58358699031866', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002353,Pot Hole in Street,Dispatch Crew,Pothole Patched,4,5805 N ODELL AVE,60631,1126359.58562351,1937717.04622143,41,16,10,,41.985549213927406,-87.81049893731586,"{'latitude': '41.985549213927406', 'longitude': '-87.81049893731586', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00002355,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,5720 N OCTAVIA AVE,60631,1126633.44858547,1937329.05141036,41,16,10,,41.98456201435575,-87.80980049807322,"{'latitude': '41.98456201435575', 'longitude': '-87.80980049807322', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003109,Pot Hole in Street,Dispatch Crew,Pothole Patched,14,5476 N SAYRE AVE,60656,1128945.07842898,1935962.12402938,41,16,10,,41.980896905846514,-87.80130393358452,"{'latitude': '41.980896905846514', 'longitude': '-87.80130393358452', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003242,Pot Hole in Street,Dispatch Crew,Pothole Patched,2,200 E 47TH ST,60653,1178390.79350649,1873907.72766929,3,2,38,56,41.80942185653226,-87.62113407842487,"{'latitude': '41.80942185653226', 'longitude': '-87.62113407842487', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003303,Pot Hole in Street,Dispatch Crew,Completed,0,1 W CULLERTON ST,60616,1176635.03956858,1890705.92472214,3,1,33,,41.855335797878894,-87.6272199799168,"{'latitude': '41.855335797878894', 'longitude': '-87.6272199799168', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00001463,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,3038 W DIVERSEY AVE,60647,1155521.6863796,1918457.84861518,35,14,21,,41.93215761815935,-87.70413181433115,"{'latitude': '41.93215761815935', 'longitude': '-87.70413181433115', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00001719,Pot Hole in Street,Dispatch Crew,Pothole Patched,4,4751 N CENTRAL AVE,60630,1138141.58569982,1931126.22991127,45,16,15,,41.967445382174155,-87.76731998943922,"{'latitude': '41.967445382174155', 'longitude': '-87.76731998943922', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00001726,Pot Hole in Street,Dispatch Crew,Pothole Patched,3,5500 W LAWRENCE AVE,60630,1138801.8397151,1931370.49230353,45,16,11,,41.96791605355328,-87.76508034348919,"{'latitude': '41.96791605355328', 'longitude': '-87.76508034348919', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00002076,Pot Hole in Street,Dispatch Crew,Pothole Patched,10,5149 N MILWAUKEE AVE,60630,1138470.90227079,1933604.09947639,45,16,11,,41.97403669023848,-87.76609654029544,"{'latitude': '41.97403669023848', 'longitude': '-87.76609654029544', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00002081,Pot Hole in Street,Dispatch Crew,Pothole Patched,12,4857 W BERTEAU AVE,60641,1143212.79948255,1927481.94330173,45,16,15,28,41.956932895580536,-87.74961933731059,"{'latitude': '41.956932895580536', 'longitude': '-87.74961933731059', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00002196,Pot Hole in Street,Dispatch Crew,Pothole Patched,3,2700 S CALIFORNIA AVE,60608,1158143.14422238,1885870.43016652,12,10,30,25,41.8425062917781,-87.69529705865949,"{'latitude': '41.8425062917781', 'longitude': '-87.69529705865949', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00002553,Pot Hole in Street,Dispatch Crew,Pothole Patched,87,4900 W CORTEZ ST,60651,1143503.1417086,1906536.6073786,37,15,25,,41.89967976200823,-87.74848502642214,"{'latitude': '41.89967976200823', 'longitude': '-87.74848502642214', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-06T00:00:00,11-00002979,Pot Hole in Street,Dispatch Crew,Pothole Patched,2,2520 W PERSHING RD,60632,1160204.22181987,1878723.21159637,12,9,58,,41.823021359607324,-87.68817434548033,"{'latitude': '41.823021359607324', 'longitude': '-87.68817434548033', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00002446,Pot Hole in Street,Dispatch Crew,Pothole Patched,2,1200 N CHERRY AVE,60642,1169152.64759998,1908176.29913287,32,18,8,,41.90353862601486,-87.65426278792667,"{'latitude': '41.90353862601486', 'longitude': '-87.65426278792667', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00002448,Pot Hole in Street,Dispatch Crew,Pothole Patched,4,1016 W DIVISION ST,60642,1169421.34709306,1908184.53412012,32,18,8,,41.90367774081611,-87.65312436877392,"{'latitude': '41.90367774081611', 'longitude': '-87.65312436877392', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00002450,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,960 W DIVISION ST,60642,1169742.34709306,1908194.23412012,32,18,8,,41.9036896855826,-87.65247659322787,"{'latitude': '41.9036896855826', 'longitude': '-87.65247659322787', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00003353,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,6934 W HIGHLAND AVE,60631,1129436.14758382,1941462.16830037,41,16,10,,41.99577607383965,-87.80006840070519,"{'latitude': '41.99577607383965', 'longitude': '-87.80006840070519', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-07T00:00:00,11-00003357,Pot Hole in Street,Dispatch Crew,Pothole Patched,5,800 W 99TH ST,60643,1172728.41839872,1839206.74299385,21,22,73,45,41.71432333701137,-87.64306671421937,"{'latitude': '41.71432333701137', 'longitude': '-87.64306671421937', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-10T00:00:00,11-00003123,Pot Hole in Street,Dispatch Crew,Pothole Patched,2,342 N COLUMBUS DR,60601,1178298.32809411,1902581.23368375,42,1,32,,41.88807626630949,-87.62077570074172,"{'latitude': '41.88807626630949', 'longitude': '-87.62077570074172', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-10T00:00:00,11-00003336,Pot Hole in Street,Dispatch Crew,Completed,0,7200 S PULASKI RD,60629,1150951.50217357,1856562.3586325,13,8,65,,41.76226471772864,-87.72245397159084,"{'latitude': '41.76226471772864', 'longitude': '-87.72245397159084', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-10T00:00:00,11-00003366,Pot Hole in Street,Dispatch Crew,Completed,0,2600 S LOOMIS ST,60608,1167501.44530455,1887131.38211032,11,9,60,,41.84574439104944,-87.66088676451601,"{'latitude': '41.84574439104944', 'longitude': '-87.66088676451601', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-11T00:00:00,11-00001731,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,6300 W HIGGINS AVE,60630,1133230.09011593,1934140.63337345,45,16,11,,41.97561346567042,-87.78540811888608,"{'latitude': '41.97561346567042', 'longitude': '-87.78540811888608', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-12T00:00:00,11-00003458,Pot Hole in Street,Dispatch Crew,Complete Upon Arrival,0,1000 S CALIFORNIA AVE,60612,1157845.66383271,1895582.78849046,28,11,29,,41.86921366718008,-87.69612571202993,"{'latitude': '41.86921366718008', 'longitude': '-87.69612571202993', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-13T00:00:00,11-00001953,Pot Hole in Street,Dispatch Crew,Pothole Patched,18,2232 W ERIE ST,60612,1161406.93781057,1904302.47179208,1,13,24,,41.89318792453425,-87.68321183828611,"{'latitude': '41.89318792453425', 'longitude': '-87.68321183828611', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-14T00:00:00,11-00002544,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,2900 W DIVERSEY AVE,60647,1156561.49482297,1918475.90598826,35,14,21,,41.932188659080765,-87.70013572509771,"{'latitude': '41.932188659080765', 'longitude': '-87.70013572509771', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-14T00:00:00,11-00002591,Pot Hole in Street,Dispatch Crew,Complete Upon Arrival,0,160 W RANDOLPH ST,60601,1175026.67551805,1901270.35573342,42,1,32,,41.88458179539359,-87.63283683999957,"{'latitude': '41.88458179539359', 'longitude': '-87.63283683999957', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-21T00:00:00,11-00002744,Pot Hole in Street,Dispatch Crew,Pothole Patched,20,2402 W BELMONT AVE,60618,1159781.54847798,1921189.90440106,47,19,5,38,41.93957087677896,-87.68826214417867,"{'latitude': '41.93957087677896', 'longitude': '-87.68826214417867', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00001727,Pot Hole in Street,,,,4334 W FULLERTON AVE,60639,1146965.47929496,1915601.00239473,31,25,20,,41.92448706337016,-87.73556224606801,"{'latitude': '41.92448706337016', 'longitude': '-87.73556224606801', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00001865,Pot Hole in Street,,,,6300 S STONY ISLAND AVE,60637,1187956.67960342,1863533.03208694,20,3,42,,41.780525395051626,-87.58660299554253,"{'latitude': '41.780525395051626', 'longitude': '-87.58660299554253', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00002564,Pot Hole in Street,,,,4200 W IRVING PARK RD,60641,1147690.29003129,1926253.4711131,38,17,16,,41.953705509686166,-87.73255098118055,"{'latitude': '41.953705509686166', 'longitude': '-87.73255098118055', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00001042,Pot Hole in Street,Dispatch Crew,Completed,0,9500 S VANDERPOEL AVE,60643,1166279.71639792,1841686.95100643,19,22,72,4,41.72110267287218,-87.66668839327973,"{'latitude': '41.72110267287218', 'longitude': '-87.66668839327973', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00001075,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,3502 N LARAMIE AVE,60641,1141078.22346884,1922798.48549789,38,16,15,,41.944281173765276,-87.75701420959375,"{'latitude': '41.944281173765276', 'longitude': '-87.75701420959375', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002306,Pot Hole in Street,Dispatch Crew,Pothole Patched,9,2640 W 105TH ST,60655,1160474.12060824,1834907.31019541,19,22,72,,41.70278534051118,-87.68811088531193,"{'latitude': '41.70278534051118', 'longitude': '-87.68811088531193', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002308,Pot Hole in Street,Dispatch Crew,WM Water Management General Investigation Transfer Outcome,0,2500 W 105TH ST,60655,1161567.3610665,1834932.2103664,19,22,72,,41.70283144187432,-87.68406078546418,"{'latitude': '41.70283144187432', 'longitude': '-87.68406078546418', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00001063,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,9500 S EGGLESTON AVE,60628,1175174.13391565,1841913.11960744,21,22,73,,41.72153994541281,-87.63411078933575,"{'latitude': '41.72153994541281', 'longitude': '-87.63411078933575', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00000097,Pot Hole in Street,Dispatch Crew,Pothole Patched,4,50 E 29TH ST,60616,1177296.82470864,1885802.87859423,2,21,35,,41.842087502627386,-87.62485069777479,"{'latitude': '41.842087502627386', 'longitude': '-87.62485069777479', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001061,Pot Hole in Street,Dispatch Crew,Pothole Patched,47,7700 S COTTAGE GROVE AVE,60619,1182897.63732288,1854128.95922172,6,6,69,51,41.754838134156614,-87.60543974949017,"{'latitude': '41.754838134156614', 'longitude': '-87.60543974949017', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001726,Pot Hole in Street,Dispatch Crew,Pothole Patched,8,6400 N CENTRAL AVE,60646,1139065.68897259,1942131.004668,41,16,12,,41.99738872050268,-87.76392151927979,"{'latitude': '41.99738872050268', 'longitude': '-87.76392151927979', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002953,Pot Hole in Street,Dispatch Crew,Complete Upon Arrival,0,2250 W FULLERTON AVE,60647,1160812.04159104,1915907.44969884,1,14,22,,41.92504784825447,-87.68481387284956,"{'latitude': '41.92504784825447', 'longitude': '-87.68481387284956', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-06T00:00:00,12-00001870,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,758 N LARRABEE ST,60654,1172210.59919151,1905427.36197604,42,18,8,,41.89647107263033,-87.64308929080951,"{'latitude': '41.89647107263033', 'longitude': '-87.64308929080951', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-10T00:00:00,12-00002401,Pot Hole in Street,Dispatch Crew,Pothole Patched,4,100 N WALLER AVE,60644,1138146.23678425,1900167.5628995,29,15,25,,41.88229208623638,-87.76833751190256,"{'latitude': '41.88229208623638', 'longitude': '-87.76833751190256', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-11T00:00:00,12-00001725,Pot Hole in Street,Dispatch Crew, No Problem Found,0,2426 N DAMEN AVE,60647,1162599.0652978,1916187.37210494,32,14,22,,41.925731713685686,-87.67808889622799,"{'latitude': '41.925731713685686', 'longitude': '-87.67808889622799', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-11T00:00:00,12-00001760,Pot Hole in Street,Dispatch Crew, No Problem Found,0,2400 N DAMEN AVE,60647,1162614.70988649,1915951.04987793,32,14,22,,41.925038006410325,-87.67804719101314,"{'latitude': '41.925038006410325', 'longitude': '-87.67804719101314', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-13T00:00:00,12-00001728,Pot Hole in Street,Dispatch Crew,Pothole Patched,1,4800 W FULLERTON AVE,60639,1144002.10089745,1915529.44951936,31,25,19,,41.924347036010694,-87.74642763965628,"{'latitude': '41.924347036010694', 'longitude': '-87.74642763965628', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-17T00:00:00,12-00002288,Pot Hole in Street,Dispatch Crew,Pothole Patched,7,2852 W VAN BUREN ST,60612,1157344.40026878,1898031.56550617,2,11,27,,41.8760663250786,-87.69826629906139,"{'latitude': '41.8760663250786', 'longitude': '-87.69826629906139', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-17T00:00:00,12-00002291,Pot Hole in Street,Dispatch Crew, No Problem Found,0,399 S RICHMOND ST,60612,1156777.23372038,1898019.12159336,2,11,27,,41.876014662149444,-87.69969053908531,"{'latitude': '41.876014662149444', 'longitude': '-87.69969053908531', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-17T00:00:00,12-00002309,Pot Hole in Street,Dispatch Crew,Pothole Patched,38,2900 W FLOURNOY ST,60612,1157141.78741728,1896897.87448324,2,11,27,,41.87296448100816,-87.69865164895207,"{'latitude': '41.87296448100816', 'longitude': '-87.69865164895207', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-17T00:00:00,12-00002350,Pot Hole in Street,Dispatch Crew, No Problem Found,0,2316 W FLOURNOY ST,60612,1161161.49347318,1897001.99007081,2,12,28,,41.873157572218,-87.6844605553239,"{'latitude': '41.873157572218', 'longitude': '-87.6844605553239', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-17T00:00:00,12-00002430,Pot Hole in Street,Dispatch Crew,Pothole Patched,12,2659 W MADISON ST,60612,1158658.81082364,1899913.5057876,2,11,27,,41.880986942933696,-87.69323421755789,"{'latitude': '41.880986942933696', 'longitude': '-87.69323421755789', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-01T00:00:00,13-00000676,Pot Hole in Street,Final Outcome,CDOT Pavement Cave-In Survey Transfer Outcome,,9708 S AVENUE M,60617,1201460.57751442,1841331.29603247,10,4,52,,41.71919465238574,-87.53785051079383,"{'latitude': '41.71919465238574', 'longitude': '-87.53785051079383', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-01T00:00:00,13-00000679,Pot Hole in Street,Final Outcome,CDOT Pavement Cave-In Survey Transfer Outcome,,9730 S AVENUE M,60617,1201462.07751442,1841184.59603247,10,4,52,,41.71857641256069,-87.5378483277557,"{'latitude': '41.71857641256069', 'longitude': '-87.5378483277557', 'needs_recoding': False}"
