Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003197,Alley Light Out,26 E 122ND PL,60628,1178612.63127163,1823744.50996995,9,5,53,41.67165224309777,-87.62192023794373,"{'latitude': '41.67165224309777', 'longitude': '-87.62192023794373', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003223,Alley Light Out,4117 W POTOMAC AVE,60651,1148696.87790159,1908343.50698647,37,25,23,41.9044308050718,-87.72923701514351,"{'latitude': '41.9044308050718', 'longitude': '-87.72923701514351', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003360,Alley Light Out,3345 W GLENLAKE AVE,60659,1152897.17120547,1940305.54208957,50,17,13,41.992054732786364,-87.71295828682389,"{'latitude': '41.992054732786364', 'longitude': '-87.71295828682389', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed - Dup,2011-01-17T00:00:00,11-00002252,Alley Light Out,7731 S CONSTANCE AVE,60649,1189877.9112331,1854077.90969069,8,4,43,41.754627771382694,-87.57971829813805,"{'latitude': '41.754627771382694', 'longitude': '-87.57971829813805', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-13T00:00:00,11-00003042,Alley Light Out,3900 W 70TH PL,60629,1151582.83468685,1857567.59522424,13,8,65,41.765038859882125,-87.7199678350918,"{'latitude': '41.765038859882125', 'longitude': '-87.7199678350918', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-27T00:00:00,11-00003393,Alley Light Out,800 W GARFIELD BLVD,60609,1171905.90432011,1868385.22210411,20,9,61,41.79430185192394,-87.64516036087709,"{'latitude': '41.79430185192394', 'longitude': '-87.64516036087709', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-28T00:00:00,11-00002987,Alley Light Out,11130 S PEORIA ST,60643,1172304.00159594,1831026.36799876,34,22,75,41.6917754459762,-87.64479668743377,"{'latitude': '41.6917754459762', 'longitude': '-87.64479668743377', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-02-16T00:00:00,11-00002403,Alley Light Out,4624 S KEELER AVE,60632,1149134.58230237,1873641.9099702,14,8,57,41.809196865205195,-87.72852707393568,"{'latitude': '41.809196865205195', 'longitude': '-87.72852707393568', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-02-16T00:00:00,11-00002501,Alley Light Out,2719 W ALBION AVE,60645,1156926.10540738,1943676.98512447,50,24,2,42.001225064626304,-87.69804656360881,"{'latitude': '42.001225064626304', 'longitude': '-87.69804656360881', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-04-05T00:00:00,11-00003020,Alley Light Out,5543 W DAKIN ST,60641,1138689.10202038,1925702.18009265,38,16,15,41.952252384329256,-87.76557660616315,"{'latitude': '41.952252384329256', 'longitude': '-87.76557660616315', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-05-04T00:00:00,11-00003272,Alley Light Out,1434 N KEELER AVE,60651,1148121.2693243,1909200.18789601,37,25,23,41.906792728509274,-87.73132931853286,"{'latitude': '41.906792728509274', 'longitude': '-87.73132931853286', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-02T00:00:00,12-00002977,Alley Light Out,5543 S HONORE ST,60636,1164965.85990611,1867841.57323263,15,7,67,41.792959645667615,-87.67062463250305,"{'latitude': '41.792959645667615', 'longitude': '-87.67062463250305', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-02T00:00:00,12-00003115,Alley Light Out,7921 S EUCLID AVE,60617,1190576.73801954,1852837.02801772,8,4,46,41.75120585722943,-87.5771973163669,"{'latitude': '41.75120585722943', 'longitude': '-87.5771973163669', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00002710,Alley Light Out,2429 N FAIRFIELD AVE,60647,1157627.8183012,1916122.90022615,1,14,22,41.92560080578405,-87.69621879509883,"{'latitude': '41.92560080578405', 'longitude': '-87.69621879509883', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00003095,Alley Light Out,3622 N ARTESIAN AVE,60618,1159402.39001458,1923981.59016606,47,19,5,41.9471291975343,-87.68948126822474,"{'latitude': '41.9471291975343', 'longitude': '-87.68948126822474', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00003096,Alley Light Out,3648 N ARTESIAN AVE,60618,1159397.49001458,1924153.39016606,47,19,5,41.947600728037976,-87.68949453571075,"{'latitude': '41.947600728037976', 'longitude': '-87.68949453571075', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-04T00:00:00,12-00000473,Alley Light Out,7747 S UNION AVE,60620,1172976.7553104,1853503.78268495,17,6,71,41.75344186143064,-87.64167247968396,"{'latitude': '41.75344186143064', 'longitude': '-87.64167247968396', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-04T00:00:00,12-00001989,Alley Light Out,6014 W WRIGHTWOOD AVE,60639,1135955.62221594,1916658.2343865,29,25,19,41.927484081472294,-87.77584130783791,"{'latitude': '41.927484081472294', 'longitude': '-87.77584130783791', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-04T00:00:00,12-00002734,Alley Light Out,1751 W BERWYN AVE,60640,1163714.36010639,1935243.39003141,40,20,77,41.97794209495583,-87.67331280996315,"{'latitude': '41.97794209495583', 'longitude': '-87.67331280996315', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-06T00:00:00,12-00001484,Alley Light Out,7057 N ORIOLE AVE,60631,1124734.35959889,1946244.64997084,41,16,9,42.00886531380005,-87.81641989334358,"{'latitude': '42.00886531380005', 'longitude': '-87.81641989334358', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-06T00:00:00,12-00002735,Alley Light Out,6100 S CAMPBELL AVE,60629,1160749.60232872,1864134.41320673,15,8,66,41.78287484856697,-87.68618755773149,"{'latitude': '41.78287484856697', 'longitude': '-87.68618755773149', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-26T00:00:00,12-00002504,Alley Light Out,7648 S DAMEN AVE,60620,1164352.69790514,1853935.14790132,18,6,71,41.7548114974745,-87.67326441480272,"{'latitude': '41.7548114974745', 'longitude': '-87.67326441480272', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-02-22T00:00:00,12-00002555,Alley Light Out,6131 N RICHMOND ST,60659,1155570.88478235,1940565.97306594,50,24,2,41.99271579645131,-87.70311645028451,"{'latitude': '41.99271579645131', 'longitude': '-87.70311645028451', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-03-19T00:00:00,12-00002778,Alley Light Out,2544 W FULLERTON AVE,60647,1158870.52003228,1915863.00998437,1,14,22,41.92486222028219,-87.69165963886437,"{'latitude': '41.92486222028219', 'longitude': '-87.69165963886437', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00002634,Alley Light Out,7325 S UNION AVE,60621,1172900.27001018,1856309.3416246,17,7,68,41.761142351373465,-87.64187013229375,"{'latitude': '41.761142351373465', 'longitude': '-87.64187013229375', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00002723,Alley Light Out,7211 S PRAIRIE AVE,60619,1179287.68372639,1857264.55577703,6,3,69,41.76362028519425,-87.61843086277045,"{'latitude': '41.76362028519425', 'longitude': '-87.61843086277045', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00003086,Alley Light Out,8200 S VERNON AVE,60619,1180670.83060912,1850729.71757842,6,6,44,41.745656320565836,-87.61356176331023,"{'latitude': '41.745656320565836', 'longitude': '-87.61356176331023', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-09T00:00:00,12-00001139,Alley Light Out,1324 W 52ND ST,60609,1168300.72002842,1870281.48981586,16,9,61,41.799583862748236,-87.65832582141151,"{'latitude': '41.799583862748236', 'longitude': '-87.65832582141151', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-19T00:00:00,12-00001022,Alley Light Out,500 N LEAMINGTON AVE,60644,1141945.97131671,1902789.40912926,28,15,25,41.889317488891955,-87.75417297275682,"{'latitude': '41.889317488891955', 'longitude': '-87.75417297275682', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-24T00:00:00,12-00002891,Alley Light Out,3231 S HARDING AVE,60623,1150556.47023153,1882883.95341441,22,10,30,41.83453072916527,-87.72307102284613,"{'latitude': '41.83453072916527', 'longitude': '-87.72307102284613', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-25T00:00:00,12-00002919,Alley Light Out,6010 S ARCHER AVE,60638,1138721.7594982,1868407.81262831,23,8,56,41.79502835767538,-87.76684657937403,"{'latitude': '41.79502835767538', 'longitude': '-87.76684657937403', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-02-27T00:00:00,12-00002017,Alley Light Out,4836 S KEATING AVE,60632,1145507.67919804,1872141.86020474,23,8,56,41.80514976805724,-87.74186793844325,"{'latitude': '41.80514976805724', 'longitude': '-87.74186793844325', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-03-19T00:00:00,12-00002769,Alley Light Out,2544 W FULLERTON AVE,60647,1158870.52003228,1915863.00998437,1,14,22,41.92486222028219,-87.69165963886437,"{'latitude': '41.92486222028219', 'longitude': '-87.69165963886437', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-03-28T00:00:00,12-00002470,Alley Light Out,138 W 73RD ST,60621,1176579.94289625,1856584.92788506,6,7,69,41.761816634621646,-87.62837565867451,"{'latitude': '41.761816634621646', 'longitude': '-87.62837565867451', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-04-09T00:00:00,12-00003133,Alley Light Out,2712 W LOGAN BLVD,60647,1157787.26102425,1917174.20038867,35,14,22,41.928482397823586,-87.69560419202712,"{'latitude': '41.928482397823586', 'longitude': '-87.69560419202712', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-01-02T00:00:00,13-00001670,Alley Light Out,1823 W 51ST ST,60609,1164963.80992284,1870869.33280357,16,9,61,41.801268229638346,-87.67054654690358,"{'latitude': '41.801268229638346', 'longitude': '-87.67054654690358', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-01-08T00:00:00,13-00001712,Alley Light Out,1823 W 51ST ST,60609,1164963.80992284,1870869.33280357,16,9,61,41.801268229638346,-87.67054654690358,"{'latitude': '41.801268229638346', 'longitude': '-87.67054654690358', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00001476,Alley Light Out,1532 N KEELER AVE,60651,1148101.48010418,1909882.86468807,30,25,23,41.90866644354464,-87.73138441467108,"{'latitude': '41.90866644354464', 'longitude': '-87.73138441467108', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00001545,Alley Light Out,3029 N ALLEN AVE,60618,1152943.78939769,1919788.8512757,35,14,21,41.93575468294771,-87.71333288342511,"{'latitude': '41.93575468294771', 'longitude': '-87.71333288342511', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-03T00:00:00,13-00000807,Alley Light Out,1720 N ORCHARD ST,60614,1171351.98012528,1911648.04892823,43,18,7,41.913030701271836,-87.64592155239951,"{'latitude': '41.913030701271836', 'longitude': '-87.64592155239951', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-03T00:00:00,13-00001506,Alley Light Out,1708 W 82ND ST,60620,1166351.12533104,1850323.77358967,18,6,71,41.74485906649929,-87.66604337818916,"{'latitude': '41.74485906649929', 'longitude': '-87.66604337818916', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-03T00:00:00,13-00001847,Alley Light Out,3317 W CRYSTAL ST,60651,1154022.20821723,1908124.96040924,26,14,23,41.90372651872852,-87.70968132874732,"{'latitude': '41.90372651872852', 'longitude': '-87.70968132874732', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00000287,Alley Light Out,4426 S CALUMET AVE,60653,1179172.43139329,1875740.5615896,3,2,38,41.81432283818276,-87.61829008203003,"{'latitude': '41.81432283818276', 'longitude': '-87.61829008203003', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001533,Alley Light Out,3234 S GREEN ST,60608,1171228.37000333,1883534.18998857,11,9,60,41.835886990411545,-87.6472012961396,"{'latitude': '41.835886990411545', 'longitude': '-87.6472012961396', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-07T00:00:00,13-00001376,Alley Light Out,738 W 107TH ST,60628,1173180.71470655,1833903.17351717,34,22,49,41.69965056723017,-87.64150233706513,"{'latitude': '41.69965056723017', 'longitude': '-87.64150233706513', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-07T00:00:00,13-00001450,Alley Light Out,6926 S MAY ST,60621,1169846.94960961,1858869.42837696,17,7,68,41.76823436002751,-87.65298654124304,"{'latitude': '41.76823436002751', 'longitude': '-87.65298654124304', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-08T00:00:00,13-00001363,Alley Light Out,1544 W 119TH ST,60643,1168082.32002609,1825811.27989654,34,5,53,41.677555921937184,-87.66040195541035,"{'latitude': '41.677555921937184', 'longitude': '-87.66040195541035', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-08T00:00:00,13-00001669,Alley Light Out,1823 W 51ST ST,60609,1164963.80992284,1870869.33280357,16,9,61,41.801268229638346,-87.67054654690358,"{'latitude': '41.801268229638346', 'longitude': '-87.67054654690358', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-09T00:00:00,13-00001692,Alley Light Out,10010 S PERRY AVE,60628,1177367.07310667,1838587.84836644,9,5,49,41.71241266676909,-87.62603285537672,"{'latitude': '41.71241266676909', 'longitude': '-87.62603285537672', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003708,Alley Light Out,5829 S NATCHEZ AVE,60638,1134057.59726671,1865184.44308978,23,8,56,41.78626591318056,-87.78402598748768,"{'latitude': '41.78626591318056', 'longitude': '-87.78402598748768', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003711,Alley Light Out,8400 S BAKER AVE,60617,1198615.51890789,1849535.19856798,10,4,46,41.741947761200194,-87.54785025894498,"{'latitude': '41.741947761200194', 'longitude': '-87.54785025894498', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00003726,Alley Light Out,9642 S PRINCETON AVE,60628,1175983.14838072,1840989.85719878,21,5,49,41.71903519489579,-87.63102942178718,"{'latitude': '41.71903519489579', 'longitude': '-87.63102942178718', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004165,Alley Light Out,10324 S SACRAMENTO AVE,60655,1158087.84697307,1836030.4133916,19,22,74,41.70580750820532,-87.69670875313876,"{'latitude': '41.70580750820532', 'longitude': '-87.69670875313876', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004524,Alley Light Out,1023 N PULASKI RD,60651,1149534.78631354,1906532.36359139,27,11,23,41.89944461143839,-87.72620620470846,"{'latitude': '41.89944461143839', 'longitude': '-87.72620620470846', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004559,Alley Light Out,7209 S SEELEY AVE,60636,1163940.26549822,1856847.25608523,17,7,67,41.7628114100748,-87.67469415804383,"{'latitude': '41.7628114100748', 'longitude': '-87.67469415804383', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004562,Alley Light Out,1829 W 34TH ST,60608,1164710.44948538,1882164.23938674,11,9,59,41.83226808274643,-87.67115650666456,"{'latitude': '41.83226808274643', 'longitude': '-87.67115650666456', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004620,Alley Light Out,5517 W EDDY ST,60641,1138948.23808572,1923057.33823237,38,16,15,41.94498996561801,-87.76468850774495,"{'latitude': '41.94498996561801', 'longitude': '-87.76468850774495', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004676,Alley Light Out,12438 S LA SALLE ST,60628,1177526.17909801,1822474.87412904,9,5,53,41.668192707681264,-87.62593476152057,"{'latitude': '41.668192707681264', 'longitude': '-87.62593476152057', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-03T00:00:00,11-00004697,Alley Light Out,1900 N BISSELL ST,60614,1169669.32990714,1912708.96001852,43,18,7,41.915978739826706,-87.65207221822683,"{'latitude': '41.915978739826706', 'longitude': '-87.65207221822683', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-06T00:00:00,11-00003861,Alley Light Out,4862 W BALMORAL AVE,60630,1142906.04477316,1935464.36233109,45,16,12,41.9789629110572,-87.74983044514673,"{'latitude': '41.9789629110572', 'longitude': '-87.74983044514673', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-10T00:00:00,11-00004505,Alley Light Out,5107 W WOLFRAM ST,60641,1141840.51858085,1918469.48331778,31,25,19,41.93234730077751,-87.75417141663068,"{'latitude': '41.93234730077751', 'longitude': '-87.75417141663068', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-18T00:00:00,11-00004050,Alley Light Out,4173 W 24TH PL,60623,1148983.28052651,1887393.7160021,22,10,30,41.84693663603671,-87.72872705266278,"{'latitude': '41.84693663603671', 'longitude': '-87.72872705266278', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-03-21T00:00:00,11-00004503,Alley Light Out,1645 W BERWYN AVE,60640,1164402.53312212,1935263.49500804,40,20,77,41.97798268569741,-87.67078149034076,"{'latitude': '41.97798268569741', 'longitude': '-87.67078149034076', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00004918,Alley Light Out,3036 N HAMLIN AVE,60618,1150711.10992057,1919874.07459462,30,25,21,41.93603255723877,-87.7215359625636,"{'latitude': '41.93603255723877', 'longitude': '-87.7215359625636', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-13T00:00:00,11-00004702,Alley Light Out,7144 S KEDZIE AVE,60629,1156273.18112201,1857067.70818837,18,8,66,41.76357402529235,-87.70278959516972,"{'latitude': '41.76357402529235', 'longitude': '-87.70278959516972', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-09T00:00:00,11-00004938,Alley Light Out,9600 S PRINCETON AVE,60628,1175973.54838072,1841270.55719878,21,5,49,41.71980568884652,-87.63105619675079,"{'latitude': '41.71980568884652', 'longitude': '-87.63105619675079', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-17T00:00:00,11-00004096,Alley Light Out,5355 S HERMITAGE AVE,60609,1165589.29967434,1869181.58719052,16,9,61,41.79662359603671,-87.66830053318283,"{'latitude': '41.79662359603671', 'longitude': '-87.66830053318283', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-18T00:00:00,11-00003616,Alley Light Out,9300 S LA SALLE ST,60620,1176914.4393851,1843292.63619418,21,6,49,41.72533342864677,-87.62754927437675,"{'latitude': '41.72533342864677', 'longitude': '-87.62754927437675', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-18T00:00:00,11-00004603,Alley Light Out,5932 W WALTON ST,60651,1136717.61917149,1905725.97837172,29,15,25,41.89747104190807,-87.77330353150283,"{'latitude': '41.89747104190807', 'longitude': '-87.77330353150283', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-18T00:00:00,11-00004712,Alley Light Out,5911 W ERIE ST,60644,1136947.62177059,1903699.89127956,29,15,25,41.8919070784248,-87.77250738875665,"{'latitude': '41.8919070784248', 'longitude': '-87.77250738875665', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-19T00:00:00,11-00003658,Alley Light Out,8230 S SAGINAW AVE,60617,1195268.47588989,1850912.20427756,7,4,46,41.74580955702488,-87.56006814893095,"{'latitude': '41.74580955702488', 'longitude': '-87.56006814893095', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-02-24T00:00:00,11-00004580,Alley Light Out,2740 N DRAKE AVE,60647,1152246.36158029,1917991.1475311,35,14,22,41.930835450751395,-87.71594357267118,"{'latitude': '41.930835450751395', 'longitude': '-87.71594357267118', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-03-09T00:00:00,11-00004798,Alley Light Out,10119 S ST LAWRENCE AVE,60628,1182028.91457113,1837921.91013056,9,5,49,41.71047889371584,-87.60898045433903,"{'latitude': '41.71047889371584', 'longitude': '-87.60898045433903', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-03-16T00:00:00,11-00004623,Alley Light Out,2905 N NASHVILLE AVE,60634,1131930.20008481,1918592.16677799,36,25,19,41.93286188786773,-87.79058840600008,"{'latitude': '41.93286188786773', 'longitude': '-87.79058840600008', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-03-18T00:00:00,11-00004622,Alley Light Out,110 W 109TH ST,60628,1177467.57200467,1832679.38822786,34,5,49,41.69619675659368,-87.62584256886964,"{'latitude': '41.69619675659368', 'longitude': '-87.62584256886964', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-03-28T00:00:00,11-00004581,Alley Light Out,6920 S JUSTINE ST,60636,1167198.58652028,1858836.32109268,17,7,67,41.76820058516994,-87.6626950042515,"{'latitude': '41.76820058516994', 'longitude': '-87.6626950042515', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-03-30T00:00:00,11-00004760,Alley Light Out,4348 S KARLOV AVE,60632,1149735.98999984,1875496.94002216,14,8,57,41.81427570003097,-87.72627313173118,"{'latitude': '41.81427570003097', 'longitude': '-87.72627313173118', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-04-04T00:00:00,11-00004384,Alley Light Out,2518 W FITCH AVE,60645,1158243.06637995,1947362.7384258,50,24,2,42.011311980340885,-87.6931002693614,"{'latitude': '42.011311980340885', 'longitude': '-87.6931002693614', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-04-04T00:00:00,11-00004686,Alley Light Out,2300 N MONTICELLO AVE,60647,1151663.67679,1915043.93081083,35,25,22,41.92275953146661,-87.71816253254507,"{'latitude': '41.92275953146661', 'longitude': '-87.71816253254507', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-04-06T00:00:00,11-00004552,Alley Light Out,4816 W PENSACOLA AVE,60641,1143480.40641911,1928487.02122684,45,16,15,41.95980577725114,-87.74789351315499,"{'latitude': '41.95980577725114', 'longitude': '-87.74789351315499', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-04-11T00:00:00,11-00004955,Alley Light Out,20 W KINZIE ST,60654,1176106.71801203,1903018.00770004,42,18,8,41.889243556452826,-87.62871433378372,"{'latitude': '41.889243556452826', 'longitude': '-87.62871433378372', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-05-02T00:00:00,11-00004474,Alley Light Out,209 E 103RD ST,60628,1179496.93062593,1836722.04886858,9,5,49,41.70724438890684,-87.61828947465446,"{'latitude': '41.70724438890684', 'longitude': '-87.61828947465446', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00003165,Alley Light Out,525 W MONROE ST,60661,1172892.52056629,1899833.19842056,2,1,28,41.88057606035163,-87.64061246818476,"{'latitude': '41.88057606035163', 'longitude': '-87.64061246818476', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00003405,Alley Light Out,5532 W 63RD PL,60638,1140618.95852231,1861919.27690087,13,8,64,41.777188173922845,-87.76004805495822,"{'latitude': '41.777188173922845', 'longitude': '-87.76004805495822', 'needs_recoding': False}"
