Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Location of Trees,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2010-06-15T00:00:00,Completed,2012-11-29T00:00:00,10-00860562,Tree Trim,,1315 W NEWPORT AVE,60657,1166916.62010273,1923031.47847712,44,19,6,41.94436383517408,-87.66188845877375,"{'latitude': '41.94436383517408', 'longitude': '-87.66188845877375', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00859179,Tree Trim,,1253 W HENDERSON ST,60657,1167270.1566182,1922372.97123194,44,19,6,41.94254925437951,-87.66060801336727,"{'latitude': '41.94254925437951', 'longitude': '-87.66060801336727', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00859259,Tree Trim,,1322 W HENDERSON ST,60657,1166888.8566182,1922363.57123194,44,19,6,41.94253166324159,-87.66200973144349,"{'latitude': '41.94253166324159', 'longitude': '-87.66200973144349', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00859275,Tree Trim,,1330 W HENDERSON ST,60657,1166835.6566182,1922362.17123194,44,19,6,41.94252896470605,-87.66220530541669,"{'latitude': '41.94252896470605', 'longitude': '-87.66220530541669', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00859301,Tree Trim,,1444 W HENDERSON ST,60657,1166083.65079077,1922341.00510414,44,19,6,41.94248700686131,-87.66496986926833,"{'latitude': '41.94248700686131', 'longitude': '-87.66496986926833', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00859307,Tree Trim,,1448 W HENDERSON ST,60657,1166056.95079077,1922340.20510414,44,19,6,41.94248538284739,-87.66506802656839,"{'latitude': '41.94248538284739', 'longitude': '-87.66506802656839', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00860026,Tree Trim,,1525 W ADDISON ST,60613,1165404.9521669,1923985.25890988,44,19,6,41.94701341424558,-87.66741743892568,"{'latitude': '41.94701341424558', 'longitude': '-87.66741743892568', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00860570,Tree Trim,,1305 W NEWPORT AVE,60657,1166983.12010273,1923033.37847712,44,19,6,41.944367619171494,-87.66164397996606,"{'latitude': '41.944367619171494', 'longitude': '-87.66164397996606', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00860580,Tree Trim,,1250 W NEWPORT AVE,60657,1167675.39911823,1923052.20687881,44,19,6,41.94440437086733,-87.6590989302341,"{'latitude': '41.94440437086733', 'longitude': '-87.6590989302341', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00860591,Tree Trim,,1243 W NEWPORT AVE,60657,1167389.19911823,1923044.40687881,44,19,6,41.944389139980764,-87.66015109810363,"{'latitude': '41.944389139980764', 'longitude': '-87.66015109810363', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00860597,Tree Trim,,1233 W NEWPORT AVE,60657,1167455.69911823,1923046.20687881,44,19,6,41.94439264587263,-87.65990662203258,"{'latitude': '41.94439264587263', 'longitude': '-87.65990662203258', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-11-30T00:00:00,10-00860620,Tree Trim,,1300 W NEWPORT AVE,60657,1167016.42010273,1923034.27847712,44,19,6,41.94436937269725,-87.6615215582168,"{'latitude': '41.94436937269725', 'longitude': '-87.6615215582168', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-03T00:00:00,10-00859147,Tree Trim,,1305 W MELROSE ST,60657,1167021.90350284,1921695.73361004,44,19,6,41.94069622491969,-87.66153996175217,"{'latitude': '41.94069622491969', 'longitude': '-87.66153996175217', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-03T00:00:00,10-00860549,Tree Trim,,1337 W NEWPORT AVE,60657,1166770.32010273,1923027.27847712,44,19,6,41.944355453665565,-87.66242631264811,"{'latitude': '41.944355453665565', 'longitude': '-87.66242631264811', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-05T00:00:00,10-00855125,Tree Trim,,1424 W 119TH ST,60643,1168876.0399732,1825832.28937523,34,5,53,41.67759652790365,-87.65749607768075,"{'latitude': '41.67759652790365', 'longitude': '-87.65749607768075', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-05T00:00:00,10-00860035,Tree Trim,,1300 W ADDISON ST,60613,1166988.41311466,1924032.18080413,44,19,6,41.94710826426215,-87.66159575439015,"{'latitude': '41.94710826426215', 'longitude': '-87.66159575439015', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-06T00:00:00,10-00860018,Tree Trim,,1424 W ADDISON ST,60613,1166074.53908044,1924004.87572973,44,19,6,41.94705294222547,-87.6649556725074,"{'latitude': '41.94705294222547', 'longitude': '-87.6649556725074', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-12-09T00:00:00,10-00856909,Tree Trim,Parkway,725 W WAVELAND AVE,60613,1171046.07599515,1925024.45526712,46,23,6,41.94974286922904,-87.64665178368594,"{'latitude': '41.94974286922904', 'longitude': '-87.64665178368594', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-13T00:00:00,10-00859491,Tree Trim,Parkway,2007 W WARNER AVE,60618,1162235.73136889,1927560.45028216,47,19,5,41.956890900053956,-87.67896624644337,"{'latitude': '41.956890900053956', 'longitude': '-87.67896624644337', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-13T00:00:00,10-00860188,Tree Trim,,3504 N GREENVIEW AVE,60657,1165688.74138351,1923355.15692554,44,19,6,41.94527832932433,-87.66639233478456,"{'latitude': '41.94527832932433', 'longitude': '-87.66639233478456', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-13T00:00:00,10-00860203,Tree Trim,,3458 N JANSSEN AVE,60657,1166026.06119549,1923062.44019018,44,19,6,41.944467891676375,-87.66516086726769,"{'latitude': '41.944467891676375', 'longitude': '-87.66516086726769', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-13T00:00:00,10-00860211,Tree Trim,,3420 N JANSSEN AVE,60657,1166033.21013158,1922807.24752233,44,19,6,41.94376747779019,-87.66514190282331,"{'latitude': '41.94376747779019', 'longitude': '-87.66514190282331', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-13T00:00:00,10-00860214,Tree Trim,,3416 N JANSSEN AVE,60657,1166033.91013158,1922780.34752233,44,19,6,41.94369364791678,-87.66514010069858,"{'latitude': '41.94369364791678', 'longitude': '-87.66514010069858', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-13T00:00:00,10-00860234,Tree Trim,,3540 N LAKEWOOD AVE,60657,1166996.75153384,1923736.09958593,44,19,6,41.94629562478022,-87.66157363432606,"{'latitude': '41.94629562478022', 'longitude': '-87.66157363432606', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-14T00:00:00,10-00860221,Tree Trim,,3552 N LAKEWOOD AVE,60657,1166995.05153384,1923796.29958593,44,19,6,41.94646085285252,-87.66157814874875,"{'latitude': '41.94646085285252', 'longitude': '-87.66157814874875', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-14T00:00:00,10-00860333,Tree Trim,,3505 N LAKEWOOD AVE,60657,1167005.46666617,1923420.06278282,44,19,6,41.945428218049166,-87.66155070490991,"{'latitude': '41.945428218049166', 'longitude': '-87.66155070490991', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2011-12-19T00:00:00,10-00858077,Tree Trim,Parkway,6888 N HIAWATHA AVE,60646,1135625.53788392,1945311.3702955,41,16,12,42.00611687658897,-87.77636981071772,"{'latitude': '42.00611687658897', 'longitude': '-87.77636981071772', 'needs_recoding': False}"
2010-06-15T00:00:00,Completed,2012-12-19T00:00:00,10-00860345,Tree Trim,,3417 N LAKEWOOD AVE,60657,1167020.92010273,1922884.27847712,44,19,6,41.94395766900373,-87.6615093394659,"{'latitude': '41.94395766900373', 'longitude': '-87.6615093394659', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-01-12T00:00:00,11-02960213,Tree Trim,Parkway,5115 S MERRIMAC AVE,60638,1135568.63817855,1870003.07880471,23,8,56,41.799462485942385,-87.77837157262054,"{'latitude': '41.799462485942385', 'longitude': '-87.77837157262054', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-01-13T00:00:00,11-02958607,Tree Trim,Parkway,9326 S BISHOP ST,60620,1168302.77253438,1842894.22518302,21,22,73,41.72442955393508,-87.65910551037275,"{'latitude': '41.72442955393508', 'longitude': '-87.65910551037275', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-01-13T00:00:00,11-02958615,Tree Trim,Parkway,9330 S BISHOP ST,60620,1168303.47253438,1842867.32518302,21,22,73,41.72435572125309,-87.6591037180247,"{'latitude': '41.72435572125309', 'longitude': '-87.6591037180247', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-01-19T00:00:00,11-02950324,Tree Trim,Parkway,5400 N LYNCH AVE,60630,1139279.56241982,1935679.41782971,45,16,11,41.97962005407647,-87.76316195906254,"{'latitude': '41.97962005407647', 'longitude': '-87.76316195906254', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-01-23T00:00:00,11-02965754,Tree Trim,,881 N RICHMOND ST,60622,1156542.9553738,1905912.82697661,26,13,24,41.897605568200326,-87.70048193955411,"{'latitude': '41.897605568200326', 'longitude': '-87.70048193955411', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-02-02T00:00:00,11-02949440,Tree Trim,Parkway,732 W 50TH ST,60609,1172265.14998357,1871715.64011134,3,9,61,41.80343297166868,-87.6437450522889,"{'latitude': '41.80343297166868', 'longitude': '-87.6437450522889', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2013-02-04T00:00:00,11-02957905,Tree Trim,Parkway,10500 S ST LOUIS AVE,60655,1154857.43557528,1834778.79921735,19,22,74,41.70243777103959,-87.70857165119173,"{'latitude': '41.70243777103959', 'longitude': '-87.70857165119173', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-02-07T00:00:00,11-02960132,Tree Trim,Parkway,10600 S MAY ST,60643,1170645.77612746,1834510.65258002,34,22,73,41.701373088534474,-87.65076656829224,"{'latitude': '41.701373088534474', 'longitude': '-87.65076656829224', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-02-09T00:00:00,11-02942577,Tree Trim,Parkway,2015 E 93RD ST,60617,1191295.86151784,1843702.79850717,8,4,48,41.726123312986864,-87.57485713256297,"{'latitude': '41.726123312986864', 'longitude': '-87.57485713256297', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-02-17T00:00:00,11-02951090,Tree Trim,Parkway,4919 S LAFLIN ST,60609,1167168.53600225,1872033.76989153,16,9,61,41.80441664272041,-87.6624276818916,"{'latitude': '41.80441664272041', 'longitude': '-87.6624276818916', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-03-07T00:00:00,11-02958250,Tree Trim,Parkway,1744 E 84TH ST,60617,1189321.63788853,1849628.77202441,8,4,45,41.74243227995873,-87.58189923215859,"{'latitude': '41.74243227995873', 'longitude': '-87.58189923215859', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-03-09T00:00:00,11-02958461,Tree Trim,Parkway,13100 S AVENUE N,60633,1201404.00886594,1818715.23161183,10,4,55,41.65730477539467,-87.53867545644454,"{'latitude': '41.65730477539467', 'longitude': '-87.53867545644454', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-03-19T00:00:00,11-02966796,Tree Trim,Parkway,1809 N FRANCISCO AVE,60647,1156847.86632505,1911924.7586128,35,14,22,41.91409664296284,-87.69919879740897,"{'latitude': '41.91409664296284', 'longitude': '-87.69919879740897', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-03-21T00:00:00,11-02945577,Tree Trim,Parkway,5159 N EAST RIVER RD,60656,1116629.43498646,1933117.13638418,41,16,76,41.972972344254046,-87.846515527766,"{'latitude': '41.972972344254046', 'longitude': '-87.846515527766', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-03-27T00:00:00,11-02959902,Tree Trim,Parkway,10014 S OGLESBY AVE,60617,1193811.86293277,1839034.86353329,7,4,51,41.71325284754377,-87.56579343735974,"{'latitude': '41.71325284754377', 'longitude': '-87.56579343735974', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-04-12T00:00:00,11-02955499,Tree Trim,Parkway,5034 W VAN BUREN ST,60644,1142944.90157976,1897543.55577751,29,15,25,41.87490366388609,-87.75063525041287,"{'latitude': '41.87490366388609', 'longitude': '-87.75063525041287', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-04-12T00:00:00,11-02964238,Tree Trim,Parkway,10631 S AVENUE H,60617,1202839.54680248,1835072.19761504,10,4,52,41.70215338569356,-87.53286664934525,"{'latitude': '41.70215338569356', 'longitude': '-87.53286664934525', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-04-20T00:00:00,11-02948816,Tree Trim,Parkway,1023 W CATALPA AVE,60640,1168389.59477664,1936708.9825132,48,20,77,41.98186358229965,-87.65607711518837,"{'latitude': '41.98186358229965', 'longitude': '-87.65607711518837', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-05-18T00:00:00,11-02961530,Tree Trim,Parkway,4625 S ST LOUIS AVE,60632,1153886.42197073,1873749.85723208,14,8,58,41.809400000010534,-87.71109515970868,"{'latitude': '41.809400000010534', 'longitude': '-87.71109515970868', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-06-06T00:00:00,11-02949704,Tree Trim,Parkway,3449 W 66TH PL,60629,1154546.02549279,1860312.08361449,15,8,66,41.77251166689337,-87.70903373523484,"{'latitude': '41.77251166689337', 'longitude': '-87.70903373523484', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-06-15T00:00:00,11-02957972,Tree Trim,,1900 W BYRON ST,60613,1162979.06002221,1925918.02962784,47,19,5,41.95236840897231,-87.67627985464406,"{'latitude': '41.95236840897231', 'longitude': '-87.67627985464406', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-08-01T00:00:00,11-02951841,Tree Trim,Parkway,5434 W MELROSE ST,60641,1139565.4737235,1921075.30538465,38,16,15,41.93953981131446,-87.7624682785968,"{'latitude': '41.93953981131446', 'longitude': '-87.7624682785968', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-08-01T00:00:00,11-02952078,Tree Trim,Parkway,2824 N KILDARE AVE,60641,1147232.08822811,1918431.12161747,31,25,20,41.932140381383505,-87.73435883799596,"{'latitude': '41.932140381383505', 'longitude': '-87.73435883799596', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-08-01T00:00:00,11-02958667,Tree Trim,Parkway,5859 W WARWICK AVE,60634,1136628.53069508,1924336.38186901,38,16,15,41.94854170505058,-87.77318424315632,"{'latitude': '41.94854170505058', 'longitude': '-87.77318424315632', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-08-12T00:00:00,11-02963317,Tree Trim,Parkway,5521 N NOTTINGHAM AVE,60656,1128311.37998445,1936350.52469726,41,16,10,41.981654892634864,-87.80348400144595,"{'latitude': '41.981654892634864', 'longitude': '-87.80348400144595', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-08-19T00:00:00,11-02957233,Tree Trim,Parkway,6833 W HOBART AVE,60631,1129593.32193121,1937123.43999383,41,16,10,41.983753989932026,-87.79875154995659,"{'latitude': '41.983753989932026', 'longitude': '-87.79875154995659', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-09-09T00:00:00,11-02951455,Tree Trim,Parkway,6899 N HIAWATHA AVE,60646,1135508.93788392,1945383.7702955,41,16,12,42.00631762835504,-87.77679707174904,"{'latitude': '42.00631762835504', 'longitude': '-87.77679707174904', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-09-26T00:00:00,11-02958705,Tree Trim,Parkway,10626 S ABERDEEN ST,60643,1171027.26250527,1834344.2399776,34,22,73,41.70090812107694,-87.64937452997347,"{'latitude': '41.70090812107694', 'longitude': '-87.64937452997347', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-09-26T00:00:00,11-02955466,Tree Trim,Parkway,5038 W VAN BUREN ST,60644,1142899.40157976,1897542.45577751,29,15,25,41.874901492857035,-87.75080233700339,"{'latitude': '41.874901492857035', 'longitude': '-87.75080233700339', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-09-27T00:00:00,11-02950443,Tree Trim,Parkway,6619 S UNIVERSITY AVE,60637,1184689.83166876,1861343.24451155,5,3,42,41.774687675558546,-87.59850334281136,"{'latitude': '41.774687675558546', 'longitude': '-87.59850334281136', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-10-11T00:00:00,11-02951248,Tree Trim,Parkway,4334 N HAMLIN AVE,60618,1150280.09802557,1928537.09570696,39,17,16,41.95981298618272,-87.72289322992194,"{'latitude': '41.95981298618272', 'longitude': '-87.72289322992194', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-10-13T00:00:00,11-02947403,Tree Trim,Parkway,7011 N ORIOLE AVE,60631,1124733.57618246,1945936.56976577,41,16,9,42.00801992623991,-87.81642961993431,"{'latitude': '42.00801992623991', 'longitude': '-87.81642961993431', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-10-17T00:00:00,11-02969933,Tree Trim,,1138 W 34TH PL,60608,1169294.75167194,1881943.09498386,11,9,60,41.831563039378196,-87.65434252751645,"{'latitude': '41.831563039378196', 'longitude': '-87.65434252751645', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-10-18T00:00:00,11-02956430,Tree Trim,,1232 S SPAULDING AVE,60623,1154557.4601953,1894302.7065966,24,10,29,41.865786180293796,-87.70808513962956,"{'latitude': '41.865786180293796', 'longitude': '-87.70808513962956', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-10-24T00:00:00,11-02945556,Tree Trim,Parkway,1705 W FLETCHER ST,60657,1164402.92211398,1920966.07741721,32,19,6,41.93874992651696,-87.67118633516034,"{'latitude': '41.93874992651696', 'longitude': '-87.67118633516034', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-11-15T00:00:00,11-02959963,Tree Trim,Parkway,2637 N MANGO AVE,60639,1137600.91167469,1916951.12652401,30,25,19,41.92825829609699,-87.76978835972534,"{'latitude': '41.92825829609699', 'longitude': '-87.76978835972534', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-11-16T00:00:00,11-02966528,Tree Trim,Parkway,7419 S MICHIGAN AVE,60619,1178443.9555291,1855852.30087077,6,3,69,41.75976410279399,-87.62156611220018,"{'latitude': '41.75976410279399', 'longitude': '-87.62156611220018', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2012-11-19T00:00:00,11-02971108,Tree Trim,Parkway,2600 N SAYRE AVE,60707,1129150.24567939,1916505.97041322,36,25,18,41.9271849453214,-87.8008523013568,"{'latitude': '41.9271849453214', 'longitude': '-87.8008523013568', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-11-22T00:00:00,11-02950155,Tree Trim,Parkway,2052 N SHEFFIELD AVE,60614,1169299.17901164,1913828.81479353,43,18,7,41.91905974241711,-87.65339950192755,"{'latitude': '41.91905974241711', 'longitude': '-87.65339950192755', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-11-23T00:00:00,11-02963407,Tree Trim,Parkway,4834 W IOWA ST,60651,1143963.80070875,1905545.74441787,37,15,25,41.896843579361786,-87.74669337771394,"{'latitude': '41.896843579361786', 'longitude': '-87.74669337771394', 'needs_recoding': False}"
2011-06-15T00:00:00,Completed - Dup,2011-11-29T00:00:00,11-02955768,Tree Trim,Parkway,7838 S DOBSON AVE,60619,1184580.6864137,1853247.49089079,8,6,69,41.75247471007657,-87.59915674997396,"{'latitude': '41.75247471007657', 'longitude': '-87.59915674997396', 'needs_recoding': False}"
