Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed,2011-01-03T00:00:00,11-00003364,Sanitation Code Violation,Garbage in alley,6700 S HERMITAGE AVE,60636,1165830.09768491,1860263.98562895,15,7,67,41.77214745780087,-87.66767067184314,"{'latitude': '41.77214745780087', 'longitude': '-87.66767067184314', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00001667,Sanitation Code Violation,Garbage in alley,2543 W FITCH AVE,60645,1158085.36637995,1947357.0384258,50,24,2,42.0112995742821,-87.69368067143212,"{'latitude': '42.0112995742821', 'longitude': '-87.69368067143212', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00002399,Sanitation Code Violation,Garbage in alley,6107 N TALMAN AVE,60659,1157558.21671692,1940445.87092901,50,24,2,41.992345865940514,-87.69580962257395,"{'latitude': '41.992345865940514', 'longitude': '-87.69580962257395', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-04T00:00:00,11-00003262,Sanitation Code Violation,Garbage in alley,2501 W LAWRENCE AVE,60625,1158824.22013321,1931798.99732634,47,19,4,41.968592498720874,-87.69139120956304,"{'latitude': '41.968592498720874', 'longitude': '-87.69139120956304', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-05T00:00:00,11-00003367,Sanitation Code Violation,Dumpster not being emptied,1523 W CHICAGO AVE,60642,1166000.54999507,1905434.70159725,27,13,24,41.89609686901227,-87.66575901261236,"{'latitude': '41.89609686901227', 'longitude': '-87.66575901261236', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-19T00:00:00,11-00002204,Sanitation Code Violation,Garbage in yard,11700 S YALE AVE,60628,1176710.30340637,1827355.20198779,34,5,53,41.681603429405314,-87.62877463934828,"{'latitude': '41.681603429405314', 'longitude': '-87.62877463934828', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-19T00:00:00,11-00002474,Sanitation Code Violation,Dog feces in yard,1411 W 114TH PL,60643,1168936.88869764,1828818.07609407,34,22,75,41.68578872272944,-87.65718758182165,"{'latitude': '41.68578872272944', 'longitude': '-87.65718758182165', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-02T00:00:00,12-00002663,Sanitation Code Violation,Dumpster not being emptied,4409 N BROADWAY,60640,1168671.96569937,1929449.38532426,46,23,3,41.96193690455536,-87.6552499609695,"{'latitude': '41.96193690455536', 'longitude': '-87.6552499609695', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00001738,Sanitation Code Violation,Garbage in yard,8018 S INGLESIDE AVE,60619,1183954.94177443,1852035.79416577,8,6,44,41.7491643186989,-87.60148758217085,"{'latitude': '41.7491643186989', 'longitude': '-87.60148758217085', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002286,Sanitation Code Violation,Dumpster not being emptied,2622 W DIVERSEY AVE,60647,1158313.0582963,1918506.20199051,1,14,21,41.9321267563801,-87.6936355459041,"{'latitude': '41.9321267563801', 'longitude': '-87.6936355459041', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002428,Sanitation Code Violation,Garbage in yard,3742 N MONTICELLO AVE,60618,1151392.33439421,1924634.61398814,39,17,16,41.94908248027055,-87.71890697951034,"{'latitude': '41.94908248027055', 'longitude': '-87.71890697951034', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002622,Sanitation Code Violation,Dumpster not being emptied,4712 N WINCHESTER AVE,60640,1162565.0184315,1931306.2002252,47,19,4,41.967162506010524,-87.67765032144663,"{'latitude': '41.967162506010524', 'longitude': '-87.67765032144663', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002657,Sanitation Code Violation,Overflowing carts,5240 N GLENWOOD AVE,60640,1166036.18287932,1935020.80010444,48,20,77,41.977281893017555,-87.66478073162459,"{'latitude': '41.977281893017555', 'longitude': '-87.66478073162459', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002658,Sanitation Code Violation,Dumpster not being emptied,5232 N GLENWOOD AVE,60640,1166037.18287932,1934981.70010444,48,20,77,41.97717457994813,-87.66477817639596,"{'latitude': '41.97717457994813', 'longitude': '-87.66477817639596', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-03T00:00:00,12-00002711,Sanitation Code Violation,Other,5118 S HOYNE AVE,60609,1163226.04270607,1870633.81490814,16,9,61,41.80065853305145,-87.6769261805053,"{'latitude': '41.80065853305145', 'longitude': '-87.6769261805053', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00002221,Sanitation Code Violation,Garbage in yard,1619 N NATOMA AVE,60707,1131837.24507466,1910049.75507342,36,25,25,41.90942207387079,-87.79112850199506,"{'latitude': '41.90942207387079', 'longitude': '-87.79112850199506', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00002621,Sanitation Code Violation,Dumpster not being emptied,4710 N WINCHESTER AVE,60640,1162565.3184315,1931292.7002252,47,19,4,41.96712545511621,-87.677649598257,"{'latitude': '41.96712545511621', 'longitude': '-87.677649598257', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00002933,Sanitation Code Violation,Other,4800 N CENTRAL AVE,60630,1138134.87586572,1931358.03739002,45,16,15,41.967782642205215,-87.76747668872918,"{'latitude': '41.967782642205215', 'longitude': '-87.76747668872918', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-04T00:00:00,12-00003113,Sanitation Code Violation,Other,3128 E 92ND ST,60617,1198617.76792552,1844555.58562194,10,4,46,41.72828326367766,-87.548008499094,"{'latitude': '41.72828326367766', 'longitude': '-87.548008499094', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001912,Sanitation Code Violation,Construction Site Cleanliness/Fence,717 W ALDINE AVE,60657,1170860.25407923,1922137.75197196,44,23,6,41.94182573113025,-87.64741975122894,"{'latitude': '41.94182573113025', 'longitude': '-87.64741975122894', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002989,Sanitation Code Violation,Other,1200 S KOSTNER AVE,60623,1147235.23489135,1894340.43039709,24,10,29,41.86603289592059,-87.734964745557,"{'latitude': '41.86603289592059', 'longitude': '-87.734964745557', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-06T00:00:00,12-00002740,Sanitation Code Violation,Other,3202 W CERMAK RD,60623,1155345.715686,1889198.71502305,24,10,30,41.851764471106,-87.70532844242386,"{'latitude': '41.851764471106', 'longitude': '-87.70532844242386', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00000138,Sanitation Code Violation,Garbage in alley,706 E 50TH PL,60615,1181868.50758849,1871686.59778003,4,2,38,41.80313645070464,-87.6085261060884,"{'latitude': '41.80313645070464', 'longitude': '-87.6085261060884', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00001322,Sanitation Code Violation,Dumpster not being emptied,7101 N RIDGE BLVD,60645,1161063.65448612,1947374.10733045,49,24,1,42.0112848224754,-87.68272182455165,"{'latitude': '42.0112848224754', 'longitude': '-87.68272182455165', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00001367,Sanitation Code Violation,Other,1770 W BEACH AVE,60622,1164271.44263442,1909595.0100664,1,14,24,41.90754979937874,-87.67199186185547,"{'latitude': '41.90754979937874', 'longitude': '-87.67199186185547', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-02T00:00:00,13-00001628,Sanitation Code Violation,Garbage in alley,6000 S CENTRAL AVE,60638,1140085.38598606,1864236.23988482,13,8,64,41.78355607464943,-87.76194772212177,"{'latitude': '41.78355607464943', 'longitude': '-87.76194772212177', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-07T00:00:00,13-00001333,Sanitation Code Violation,Other,7653 S KINGSTON AVE,60649,1194521.24966812,1854709.65172655,7,4,43,41.756248446677034,-87.56268144574994,"{'latitude': '41.756248446677034', 'longitude': '-87.56268144574994', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-09T00:00:00,13-00000439,Sanitation Code Violation,Garbage in alley,7003 S CALUMET AVE,60637,1179690.33457987,1858648.5335997,6,3,69,41.767408874200484,-87.61691282449189,"{'latitude': '41.767408874200484', 'longitude': '-87.61691282449189', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-09T00:00:00,13-00000708,Sanitation Code Violation,Other,1400 E 72ND PL,60619,1186795.86502097,1857206.0259892,5,3,43,41.76328514276215,-87.5909139753819,"{'latitude': '41.76328514276215', 'longitude': '-87.5909139753819', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-09T00:00:00,13-00001288,Sanitation Code Violation,Garbage in alley,648 E 89TH ST,60619,1182116.67376625,1846109.46168235,6,6,44,41.73294450551752,-87.60840657766452,"{'latitude': '41.73294450551752', 'longitude': '-87.60840657766452', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-24T00:00:00,13-00000834,Sanitation Code Violation,Other,6131 S ROCKWELL ST,60629,1160090.96047857,1863907.15113113,15,8,66,41.782264787411926,-87.68860860510848,"{'latitude': '41.782264787411926', 'longitude': '-87.68860860510848', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-05T00:00:00,11-00003839,Sanitation Code Violation,Overflowing carts,1523 W CHICAGO AVE,60642,1166000.54999507,1905434.70159725,27,13,24,41.89609686901227,-87.66575901261236,"{'latitude': '41.89609686901227', 'longitude': '-87.66575901261236', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-19T00:00:00,11-00003833,Sanitation Code Violation,Garbage in yard,1411 W 114TH PL,60643,1168936.88869764,1828818.07609407,34,22,75,41.68578872272944,-87.65718758182165,"{'latitude': '41.68578872272944', 'longitude': '-87.65718758182165', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00003584,Sanitation Code Violation,Garbage in yard,4110 N BERNARD ST,60618,1152655.16421588,1927107.07761861,33,17,16,41.95584215921338,-87.7141993372126,"{'latitude': '41.95584215921338', 'longitude': '-87.7141993372126', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00003809,Sanitation Code Violation,Other,8258 S COTTAGE GROVE AVE,60619,1182995.36330661,1850410.53771737,6,6,44,41.744726783595496,-87.60505421949827,"{'latitude': '41.744726783595496', 'longitude': '-87.60505421949827', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00003928,Sanitation Code Violation,Dumpster not being emptied,1638 W BELMONT AVE,60657,1164833.14509948,1921309.82733239,32,19,6,41.93968406492304,-87.66959538320832,"{'latitude': '41.93968406492304', 'longitude': '-87.66959538320832', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00004139,Sanitation Code Violation,Other,420 W 75TH ST,60621,1174702.91168475,1855202.15869448,17,7,69,41.75806415678032,-87.63529627524956,"{'latitude': '41.75806415678032', 'longitude': '-87.63529627524956', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00004251,Sanitation Code Violation,Dumpster not being emptied,2408 N KEDZIE BLVD,60647,1154633.93867137,1915876.7541961,35,14,22,41.92498587617708,-87.70722642181771,"{'latitude': '41.92498587617708', 'longitude': '-87.70722642181771', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00004269,Sanitation Code Violation,Garbage in alley,6254 S CAMPBELL AVE,60629,1160777.60083271,1863106.64028558,15,8,66,41.780053919886626,-87.68611326821086,"{'latitude': '41.780053919886626', 'longitude': '-87.68611326821086', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00004582,Sanitation Code Violation,Garbage in yard,6926 S JUSTINE ST,60636,1167199.78652028,1858796.12109268,17,7,67,41.76809024542269,-87.66269175461306,"{'latitude': '41.76809024542269', 'longitude': '-87.66269175461306', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-03T00:00:00,11-00004785,Sanitation Code Violation,Garbage in yard,2500 W CATALPA AVE,60625,1158676.23321664,1936451.68569204,40,20,4,41.98136274027474,-87.69180723617153,"{'latitude': '41.98136274027474', 'longitude': '-87.69180723617153', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00003554,Sanitation Code Violation,Other,3100 S EMERALD AVE,60616,1171803.8939203,1884330.56722858,11,9,60,41.838059685153,-87.64506609695474,"{'latitude': '41.838059685153', 'longitude': '-87.64506609695474', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00003557,Sanitation Code Violation,Other,3400 S EMERALD AVE,60616,1171856.7224911,1882339.31648973,11,9,60,41.832594354512636,-87.64493080350856,"{'latitude': '41.832594354512636', 'longitude': '-87.64493080350856', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00003730,Sanitation Code Violation,Construction Site Cleanliness/Fence,1915 W GRACE ST,60613,1162894.26129395,1925249.72507835,47,19,5,41.95053633077031,-87.6766104014608,"{'latitude': '41.95053633077031', 'longitude': '-87.6766104014608', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00003929,Sanitation Code Violation,Garbage in yard,168 E 113TH ST,60628,1179213.95842981,1830071.18958258,9,5,49,41.688999945799196,-87.61952756371645,"{'latitude': '41.688999945799196', 'longitude': '-87.61952756371645', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00004067,Sanitation Code Violation,Other,1745 N ARTESIAN AVE,60647,1159756.08672443,1911702.10998491,1,14,24,41.913426176457605,-87.68852062519043,"{'latitude': '41.913426176457605', 'longitude': '-87.68852062519043', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00004087,Sanitation Code Violation,Garbage in alley,4442 S UNIVERSITY AVE,60653,1184667.09987284,1875689.21449917,4,21,39,41.81405470769938,-87.59813691732612,"{'latitude': '41.81405470769938', 'longitude': '-87.59813691732612', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00004154,Sanitation Code Violation,Overflowing carts,3428 S LITUANICA AVE,60608,1170868.01839239,1882097.36361948,11,9,60,41.831952098385926,-87.64856557212572,"{'latitude': '41.831952098385926', 'longitude': '-87.64856557212572', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-04T00:00:00,11-00004830,Sanitation Code Violation,Dog feces in yard,3672 W GRAND AVE,60651,1151516.63006873,1907907.23020059,26,25,23,41.90317866256167,-87.71889069227119,"{'latitude': '41.90317866256167', 'longitude': '-87.71889069227119', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00003761,Sanitation Code Violation,Other,1040 W 18TH ST,60608,1169554.38991074,1891579.55487874,25,12,31,41.85800070811831,-87.65310984971033,"{'latitude': '41.85800070811831', 'longitude': '-87.65310984971033', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-10T00:00:00,11-00003764,Sanitation Code Violation,Garbage in yard,1839 S RIDGEWAY AVE,60623,1151657.74808027,1890823.929102,24,10,29,41.85629746910621,-87.71882163764909,"{'latitude': '41.85629746910621', 'longitude': '-87.71882163764909', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-13T00:00:00,11-00003904,Sanitation Code Violation,Dumpster not being emptied,6230 N CLAREMONT AVE,60659,1159520.62431747,1941305.41631249,50,24,2,41.994664175301764,-87.68856743334477,"{'latitude': '41.994664175301764', 'longitude': '-87.68856743334477', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-13T00:00:00,11-00004245,Sanitation Code Violation,Garbage in alley,4830 W CHICAGO AVE,60651,1144007.4524331,1904873.60977543,37,15,25,41.89499834609751,-87.74654993367325,"{'latitude': '41.89499834609751', 'longitude': '-87.74654993367325', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00003907,Sanitation Code Violation,,5031 N HARDING AVE,60625,1149149.54629554,1933078.55879948,39,17,14,41.97229710656212,-87.72693151491339,"{'latitude': '41.97229710656212', 'longitude': '-87.72693151491339', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed - Dup,2012-01-03T00:00:00,12-00004185,Sanitation Code Violation,Dumpster not being emptied,5031 N HARDING AVE,60625,1149149.54629554,1933078.55879948,39,17,14,41.97229710656212,-87.72693151491339,"{'latitude': '41.97229710656212', 'longitude': '-87.72693151491339', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00003155,Sanitation Code Violation,Dog feces in yard,2557 W FULLERTON AVE,60647,1158813.62003228,1915861.90998437,1,14,22,41.92486037002234,-87.69186874546374,"{'latitude': '41.92486037002234', 'longitude': '-87.69186874546374', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00003340,Sanitation Code Violation,Construction Site Cleanliness/Fence,2100 S CALUMET AVE,60616,1178836.84132231,1890324.53000538,2,1,33,41.85434998623987,-87.61907623473641,"{'latitude': '41.85434998623987', 'longitude': '-87.61907623473641', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00003389,Sanitation Code Violation,Garbage in yard,3331 W HUTCHINSON ST,60618,1153416.71000684,1928059.74997413,33,17,16,41.95844122410603,-87.71137428867355,"{'latitude': '41.95844122410603', 'longitude': '-87.71137428867355', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00003735,Sanitation Code Violation,Dumpster not being emptied,5031 N HARDING AVE,60625,1149149.54629554,1933078.55879948,39,17,14,41.97229710656212,-87.72693151491339,"{'latitude': '41.97229710656212', 'longitude': '-87.72693151491339', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00003873,Sanitation Code Violation,Other,5809 S DAMEN AVE,60636,1164021.81852739,1866085.33698911,15,7,67,41.78816022857374,-87.6741357124383,"{'latitude': '41.78816022857374', 'longitude': '-87.6741357124383', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004080,Sanitation Code Violation,Garbage in alley,3335 W ADAMS ST,60624,1154190.05210833,1898877.51760481,28,11,27,41.878347284594064,-87.70931183068103,"{'latitude': '41.878347284594064', 'longitude': '-87.70931183068103', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004135,Sanitation Code Violation,,1852 N DAMEN AVE,60647,1162732.44352997,1912401.76011434,32,14,22,41.915284141077386,-87.6775664662809,"{'latitude': '41.915284141077386', 'longitude': '-87.6775664662809', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004151,Sanitation Code Violation,Dumpster not being emptied,6120 N LINCOLN AVE,60659,1153120.54349876,1940763.8993314,50,17,13,41.9933080448164,-87.71212441970061,"{'latitude': '41.9933080448164', 'longitude': '-87.71212441970061', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004451,Sanitation Code Violation,Overflowing carts,2804 N NATOMA AVE,60634,1131604.04011501,1917912.43627816,36,25,18,41.93100228665368,-87.79180281436012,"{'latitude': '41.93100228665368', 'longitude': '-87.79180281436012', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004464,Sanitation Code Violation,Other,3801 W WELLINGTON AVE,60618,1150525.20992057,1919672.17459462,30,25,21,41.93548216531003,-87.7222244556571,"{'latitude': '41.93548216531003', 'longitude': '-87.7222244556571', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004493,Sanitation Code Violation,Other,4922 N LAWNDALE AVE,60625,1150832.876033,1932453.30490479,39,17,14,41.970548506367166,-87.72075801576297,"{'latitude': '41.970548506367166', 'longitude': '-87.72075801576297', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004841,Sanitation Code Violation,Garbage in yard,3234 W LELAND AVE,60625,1153846.64986882,1931042.55427259,33,17,14,41.96661765459018,-87.70971385046109,"{'latitude': '41.96661765459018', 'longitude': '-87.70971385046109', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00004893,Sanitation Code Violation,Overflowing carts,2158 W CHICAGO AVE,60622,1161869.5137983,1905310.79389212,32,13,24,41.895844057647004,-87.68093491190821,"{'latitude': '41.895844057647004', 'longitude': '-87.68093491190821', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-03T00:00:00,12-00005084,Sanitation Code Violation,Garbage in alley,2850 N WOODARD ST,60618,1153355.85770399,1918835.66378396,35,14,21,41.933130874619046,-87.71184388844048,"{'latitude': '41.933130874619046', 'longitude': '-87.71184388844048', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-04T00:00:00,12-00003381,Sanitation Code Violation,Other,3400 S EMERALD AVE,60616,1171856.7224911,1882339.31648973,11,9,60,41.832594354512636,-87.64493080350856,"{'latitude': '41.832594354512636', 'longitude': '-87.64493080350856', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-04T00:00:00,12-00003769,Sanitation Code Violation,Garbage in yard,3814 S EMERALD AVE,60609,1171926.89619678,1879585.79527317,11,9,60,41.82503689603398,-87.64475430517136,"{'latitude': '41.82503689603398', 'longitude': '-87.64475430517136', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-04T00:00:00,12-00004060,Sanitation Code Violation,Overflowing carts,455 W ROSLYN PL,60614,1172785.32716724,1916997.71872509,43,23,7,41.92767879441832,-87.64049702962345,"{'latitude': '41.92767879441832', 'longitude': '-87.64049702962345', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-04T00:00:00,12-00004174,Sanitation Code Violation,Garbage in alley,7024 S MERRILL AVE,60649,1191762.74851931,1858715.53561629,5,3,43,41.767308276885295,-87.57266077109,"{'latitude': '41.767308276885295', 'longitude': '-87.57266077109', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-04T00:00:00,12-00004371,Sanitation Code Violation,Garbage in yard,1312 S CLAREMONT AVE,60608,1160802.51012842,1893946.64170789,25,12,28,41.86468200180145,-87.68516900565784,"{'latitude': '41.86468200180145', 'longitude': '-87.68516900565784', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004315,Sanitation Code Violation,Garbage in yard,6141 S EVANS AVE,60637,1182277.72012708,1864453.36527323,20,3,42,41.78327835509478,-87.60724939961041,"{'latitude': '41.78327835509478', 'longitude': '-87.60724939961041', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004430,Sanitation Code Violation,Garbage in alley,7202 S CAMPBELL AVE,60629,1160954.99119782,1856819.25358087,18,8,66,41.76279677114472,-87.68563651685828,"{'latitude': '41.76279677114472', 'longitude': '-87.68563651685828', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-09T00:00:00,12-00003618,Sanitation Code Violation,Other,1000 N CROSBY ST,60610,1171965.66767973,1906991.28832418,27,18,8,41.90023877999546,-87.64380454489988,"{'latitude': '41.90023877999546', 'longitude': '-87.64380454489988', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-09T00:00:00,12-00003916,Sanitation Code Violation,Garbage in yard,5833 N KENNETH AVE,60646,1145746.44677819,1938295.88508495,39,17,12,41.98667923517808,-87.73931237585803,"{'latitude': '41.98667923517808', 'longitude': '-87.73931237585803', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-10T00:00:00,12-00005079,Sanitation Code Violation,Other,4616 S MOZART ST,60632,1158144.02148937,1873921.02677394,14,9,58,41.80978405923751,-87.69547425117669,"{'latitude': '41.80978405923751', 'longitude': '-87.69547425117669', 'needs_recoding': False}"
