Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2012-01-01T00:00:00,Completed - Dup,2012-01-05T00:00:00,12-00001906,Rodent Baiting/Rat Complaint,,,,,,2925 N NEW ENGLAND AVE,60634,1129915.81992281,1918677.6645915,36,25,18,41.93313125807079,-87.7979892523638,"{'latitude': '41.93313125807079', 'longitude': '-87.7979892523638', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-05T00:00:00,12-00001939,Rodent Baiting/Rat Complaint,,,,,,2925 N NEW ENGLAND AVE,60634,1129915.81992281,1918677.6645915,36,25,18,41.93313125807079,-87.7979892523638,"{'latitude': '41.93313125807079', 'longitude': '-87.7979892523638', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001680,Rodent Baiting/Rat Complaint,1,4,1,Dispatch Crew,Inspected and baited,3417 W 73RD PL,60629,1154876.78381935,1855662.58010824,18,8,66,41.75974610599034,-87.70794517774965,"{'latitude': '41.75974610599034', 'longitude': '-87.70794517774965', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001723,Rodent Baiting/Rat Complaint,2,4,2,Dispatch Crew,Inspected and baited,4322 W CULLERTON ST,60623,1147883.27127102,1890069.54202602,24,10,29,41.85430062789185,-87.73269541832288,"{'latitude': '41.85430062789185', 'longitude': '-87.73269541832288', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001882,Rodent Baiting/Rat Complaint,0,2,0,Dispatch Crew,Inspected and baited,4253 W FIFTH AVE,60624,1148084.74599833,1896236.42620422,24,11,26,41.8712194446494,-87.73179732176091,"{'latitude': '41.8712194446494', 'longitude': '-87.73179732176091', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001885,Rodent Baiting/Rat Complaint,0,11,0,Dispatch Crew,Inspected and baited,520 E 80TH ST,60619,1181175.51611632,1852078.65442053,6,6,44,41.74934635397685,-87.61167106182282,"{'latitude': '41.74934635397685', 'longitude': '-87.61167106182282', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00001905,Rodent Baiting/Rat Complaint,3,7,3,Dispatch Crew,Inspected and baited,2925 N NEW ENGLAND AVE,60634,1129915.81992281,1918677.6645915,36,25,18,41.93313125807079,-87.7979892523638,"{'latitude': '41.93313125807079', 'longitude': '-87.7979892523638', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002333,Rodent Baiting/Rat Complaint,2,6,4,Dispatch Crew,Inspected and baited,1128 W ARDMORE AVE,60660,1167658.23252516,1938683.21872787,48,20,77,41.98729677283302,-87.65870965896644,"{'latitude': '41.98729677283302', 'longitude': '-87.65870965896644', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002659,Rodent Baiting/Rat Complaint,2,6,2,Dispatch Crew,Inspected and baited,5452 N SPAULDING AVE,60625,1153398.56600038,1936045.30061436,40,17,13,41.98035442330003,-87.71122781699026,"{'latitude': '41.98035442330003', 'longitude': '-87.71122781699026', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002703,Rodent Baiting/Rat Complaint,0,3,0,Dispatch Crew,Inspected and baited,2341 W ROOSEVELT RD,60608,1160951.11861624,1894658.61391715,25,12,28,41.86663264206997,-87.68460371311866,"{'latitude': '41.86663264206997', 'longitude': '-87.68460371311866', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002827,Rodent Baiting/Rat Complaint,3,1,3,Dispatch Crew,Inspected and baited,339 W 109TH PL,60628,1176006.75891705,1832311.73002052,34,5,49,41.69522065143191,-87.63120210727071,"{'latitude': '41.69522065143191', 'longitude': '-87.63120210727071', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002855,Rodent Baiting/Rat Complaint,0,4,0,Dispatch Crew,Inspected and baited,2815 N TALMAN AVE,60618,1158233.6582963,1918604.20199051,1,14,21,41.9323973004704,-87.69392464481953,"{'latitude': '41.9323973004704', 'longitude': '-87.69392464481953', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002909,Rodent Baiting/Rat Complaint,0,6,0,Dispatch Crew,Inspected and baited,1314 W GEORGE ST,60657,1167039.71540314,1919376.3730302,32,19,6,41.93433140216767,-87.66154129786436,"{'latitude': '41.93433140216767', 'longitude': '-87.66154129786436', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00002922,Rodent Baiting/Rat Complaint,0,2,0,Dispatch Crew,Inspected and baited,4301 W ADAMS ST,60624,1147752.34728207,1898664.34747428,28,11,26,41.877888331577275,-87.73295534268999,"{'latitude': '41.877888331577275', 'longitude': '-87.73295534268999', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00003025,Rodent Baiting/Rat Complaint,1,2,1,Dispatch Crew,Inspected and baited,8144 S WOODLAWN AVE,60619,1185630.31997168,1851131.20997253,8,4,45,41.74664277994884,-87.59537684969652,"{'latitude': '41.74664277994884', 'longitude': '-87.59537684969652', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-05T00:00:00,12-00003031,Rodent Baiting/Rat Complaint,0,4,0,Dispatch Crew,Inspected and baited,8147 S WOODLAWN AVE,60619,1185630.71997168,1851116.50997253,8,4,45,41.74660243223972,-87.59537584596985,"{'latitude': '41.74660243223972', 'longitude': '-87.59537584596985', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00000634,Rodent Baiting/Rat Complaint,0,2,0,Dispatch Crew,Completed,6225 N WASHTENAW AVE,60659,1157202.85718124,1941214.03772031,50,24,2,41.9944609997409,-87.69709576089141,"{'latitude': '41.9944609997409', 'longitude': '-87.69709576089141', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00000654,Rodent Baiting/Rat Complaint,0,5,0,Dispatch Crew,Completed,2303 S KOLIN AVE,60623,1148010.84940725,1888304.57432153,22,10,29,41.84945488068342,-87.73227249526849,"{'latitude': '41.84945488068342', 'longitude': '-87.73227249526849', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00000700,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Completed,4120 N ASHLAND AVE,60613,1164917.70703205,1927437.2687054,47,19,6,41.956496264125555,-87.66911006992231,"{'latitude': '41.956496264125555', 'longitude': '-87.66911006992231', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00000846,Rodent Baiting/Rat Complaint,8,14,8,Dispatch Crew,Inspected and baited,6131 N RICHMOND ST,60659,1155570.88478235,1940565.97306594,50,24,2,41.99271579645131,-87.70311645028451,"{'latitude': '41.99271579645131', 'longitude': '-87.70311645028451', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00000868,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Completed,5636 S PAULINA ST,60636,1165971.63700342,1867324.52500506,15,7,67,41.79151946724058,-87.66695125235566,"{'latitude': '41.79151946724058', 'longitude': '-87.66695125235566', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001243,Rodent Baiting/Rat Complaint,1,2,1,Dispatch Crew,Inspected and baited,2059 N KEDZIE AVE,60647,1154708.2057769,1913587.70301162,35,14,22,41.91870304479282,-87.70701496117562,"{'latitude': '41.91870304479282', 'longitude': '-87.70701496117562', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001282,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Completed,5549 N KENMORE AVE,60640,1168248.29477664,1937034.6825132,48,20,77,41.98276037583292,-87.65658731036926,"{'latitude': '41.98276037583292', 'longitude': '-87.65658731036926', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001348,Rodent Baiting/Rat Complaint,1,5,1,Dispatch Crew,Inspected and baited,6632 S INGLESIDE AVE,60637,1183697.60037974,1861233.53950691,5,3,42,41.77440984247088,-87.6021440826977,"{'latitude': '41.77440984247088', 'longitude': '-87.6021440826977', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001444,Rodent Baiting/Rat Complaint,2,2,2,Dispatch Crew,Inspected and baited,3123 W EASTWOOD AVE,60625,1154720.92397757,1930677.96783369,33,17,14,41.96559970085924,-87.70650907216968,"{'latitude': '41.96559970085924', 'longitude': '-87.70650907216968', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001514,Rodent Baiting/Rat Complaint,1,6,1,Dispatch Crew,Inspected and baited,3725 N HARLEM AVE,60634,1127408.86900226,1923907.42998029,36,16,17,41.947524952948086,-87.80708431481725,"{'latitude': '41.947524952948086', 'longitude': '-87.80708431481725', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001714,Rodent Baiting/Rat Complaint,1,2,2,Dispatch Crew,Inspected and baited,1823 W 51ST ST,60609,1164963.80992284,1870869.33280357,16,9,61,41.801268229638346,-87.67054654690358,"{'latitude': '41.801268229638346', 'longitude': '-87.67054654690358', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001790,Rodent Baiting/Rat Complaint,3,14,3,Dispatch Crew,Inspected and baited,656 N LOCKWOOD AVE,60644,1140910.59650262,1903831.73059151,37,15,25,41.892196859767175,-87.75794967655709,"{'latitude': '41.892196859767175', 'longitude': '-87.75794967655709', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-04T00:00:00,13-00001898,Rodent Baiting/Rat Complaint,2,5,2,Dispatch Crew,Inspected and baited,6513 S ELLIS AVE,60637,1184009.14001732,1862031.21220416,20,3,42,41.776591455001615,-87.60097714416426,"{'latitude': '41.776591455001615', 'longitude': '-87.60097714416426', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-08T00:00:00,13-00000655,Rodent Baiting/Rat Complaint,0,8,0,Dispatch Crew,Completed,2306 S KOLIN AVE,60623,1148011.64940725,1888276.77432153,22,10,29,41.84937857852523,-87.73227027327859,"{'latitude': '41.84937857852523', 'longitude': '-87.73227027327859', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00003694,Rodent Baiting/Rat Complaint,9,7,9,Dispatch Crew,Inspected and baited,2818 W LYNDALE ST,60647,1157197.32443033,1914960.21010151,35,14,22,41.92241906253602,-87.69783230687653,"{'latitude': '41.92241906253602', 'longitude': '-87.69783230687653', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00003971,Rodent Baiting/Rat Complaint,0,8,0,Dispatch Crew,"Area inspected, no cause and no baiting",1447 N MOHAWK ST,60610,1172394.46148999,1909958.52761775,43,18,8,41.90837157733677,-87.64214176724198,"{'latitude': '41.90837157733677', 'longitude': '-87.64214176724198', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004194,Rodent Baiting/Rat Complaint,2,3,2,Dispatch Crew,Inspected and baited,9101 S MARSHFIELD AVE,60620,1166938.09763268,1844340.09367083,21,22,73,41.72842645857941,-87.66406312249917,"{'latitude': '41.72842645857941', 'longitude': '-87.66406312249917', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004268,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"No contact, left door hanger",6308 W 64TH PL,60638,1135479.20993081,1861083.98488776,13,8,64,41.77498845671302,-87.77891045587658,"{'latitude': '41.77498845671302', 'longitude': '-87.77891045587658', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004489,Rodent Baiting/Rat Complaint,3,7,3,Dispatch Crew,Inspected and baited,11514 S PRINCETON AVE,60628,1176343.41939253,1828581.21989983,34,5,53,41.68497603554315,-87.63008099709523,"{'latitude': '41.68497603554315', 'longitude': '-87.63008099709523', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004497,Rodent Baiting/Rat Complaint,1,9,1,Dispatch Crew,Inspected and baited,4509 S EMERALD AVE,60609,1172066.92027118,1874958.38561719,11,9,61,41.81233575698954,-87.64437671784081,"{'latitude': '41.81233575698954', 'longitude': '-87.64437671784081', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004540,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"Area inspected, no cause and no baiting",8001 S KILPATRICK AVE,60652,1146876.27261476,1851139.547983,13,8,70,41.747489967776325,-87.73738223314633,"{'latitude': '41.747489967776325', 'longitude': '-87.73738223314633', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004886,Rodent Baiting/Rat Complaint,3,7,3,Dispatch Crew,Inspected and baited,1450 W MARQUETTE RD,60636,1167730.77403155,1860312.75778705,17,7,67,41.77224071447105,-87.66070195894147,"{'latitude': '41.77224071447105', 'longitude': '-87.66070195894147', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004946,Rodent Baiting/Rat Complaint,1,1,1,Dispatch Crew,Inspected and baited,3676 W GRAND AVE,60651,1151481.03006873,1907925.53020059,26,25,23,41.90322957916876,-87.71902097783568,"{'latitude': '41.90322957916876', 'longitude': '-87.71902097783568', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-10T00:00:00,11-00003808,Rodent Baiting/Rat Complaint,1,2,1,Dispatch Crew,Inspected and baited,5318 N RAVENSWOOD AVE,60640,1163232.38786593,1935417.93616734,40,20,4,41.97843123278353,-87.6750803253979,"{'latitude': '41.97843123278353', 'longitude': '-87.6750803253979', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-10T00:00:00,11-00004897,Rodent Baiting/Rat Complaint,5,0,5,Dispatch Crew,Inspected and baited,1700 W WALLEN AVE,60626,1163794.40957375,1944230.25601647,49,24,1,42.00260063475129,-87.67276350887673,"{'latitude': '42.00260063475129', 'longitude': '-87.67276350887673', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00003198,Rodent Baiting/Rat Complaint,1,11,1,Dispatch Crew,Inspected and baited,5145 S ARCHER AVE,60632,1148304.95650282,1870441.22189358,23,8,57,41.80042967716183,-87.73165220982555,"{'latitude': '41.80042967716183', 'longitude': '-87.73165220982555', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00003590,Rodent Baiting/Rat Complaint,0,3,0,Dispatch Crew,Inspected and baited,9019 S KINGSTON AVE,60617,1194726.35012973,1845661.11621971,7,4,48,41.7314134789549,-87.56222696448286,"{'latitude': '41.7314134789549', 'longitude': '-87.56222696448286', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00003802,Rodent Baiting/Rat Complaint,1,4,1,Dispatch Crew,Inspected and baited,3405 W 74TH ST,60629,1154968.86460406,1855331.06998174,18,8,66,41.758834551771805,-87.70761653630763,"{'latitude': '41.758834551771805', 'longitude': '-87.70761653630763', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00003856,Rodent Baiting/Rat Complaint,0,7,0,Dispatch Crew,Inspected and baited,4221 N LEAVITT ST,60618,1160936.26611817,1927999.66357586,47,19,5,41.95812325318212,-87.68373121131255,"{'latitude': '41.95812325318212', 'longitude': '-87.68373121131255', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00003980,Rodent Baiting/Rat Complaint,1,8,5,Dispatch Crew,Inspected and baited,6026 N JERSEY AVE,60659,1153401.80811319,1939856.22449403,50,17,13,41.99081173624815,-87.71111407463536,"{'latitude': '41.99081173624815', 'longitude': '-87.71111407463536', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004011,Rodent Baiting/Rat Complaint,1,4,1,Dispatch Crew,Inspected and baited,3817 W 86TH PL,60652,1152463.2292172,1846936.32050376,18,8,70,41.73584757422489,-87.71702001483197,"{'latitude': '41.73584757422489', 'longitude': '-87.71702001483197', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004134,Rodent Baiting/Rat Complaint,3,4,3,Dispatch Crew,Inspected and baited,6403 S SACRAMENTO AVE,60629,1157484.04233031,1862029.89192781,15,8,66,41.7771665566798,-87.69821719069553,"{'latitude': '41.7771665566798', 'longitude': '-87.69821719069553', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004136,Rodent Baiting/Rat Complaint,5,4,6,Dispatch Crew,Inspected and baited,3810 W DIVISION ST,60651,1150726.14910582,1907730.63933099,27,25,23,41.90270957992939,-87.72179893457603,"{'latitude': '41.90270957992939', 'longitude': '-87.72179893457603', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004259,Rodent Baiting/Rat Complaint,2,7,2,Dispatch Crew,Inspected and baited,3628 S HERMITAGE AVE,60609,1165277.52079671,1880655.89602478,11,9,59,41.82811701628178,-87.66911863519607,"{'latitude': '41.82811701628178', 'longitude': '-87.66911863519607', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004267,Rodent Baiting/Rat Complaint,1,5,1,Dispatch Crew,Inspected and baited,2241 N LEAVITT ST,60647,1161324.24377852,1914889.90007559,32,14,22,41.922141201013645,-87.68267069000868,"{'latitude': '41.922141201013645', 'longitude': '-87.68267069000868', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004270,Rodent Baiting/Rat Complaint,1,2,1,Dispatch Crew,Inspected and baited,1225 S ST LOUIS AVE,60623,1153230.35200875,1894218.04138759,24,10,29,41.86558026983674,-87.71295930896075,"{'latitude': '41.86558026983674', 'longitude': '-87.71295930896075', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004271,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Inspected and baited,3628 N MILWAUKEE AVE,60641,1146630.15378693,1923754.66377662,38,17,16,41.94676016872646,-87.73643466753917,"{'latitude': '41.94676016872646', 'longitude': '-87.73643466753917', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004274,Rodent Baiting/Rat Complaint,2,6,2,Dispatch Crew,Inspected and baited,3312 W PERSHING RD,60632,1154927.03997008,1878550.63180318,12,9,58,41.822553222418016,-87.70715000495343,"{'latitude': '41.822553222418016', 'longitude': '-87.70715000495343', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004318,Rodent Baiting/Rat Complaint,0,5,0,Dispatch Crew,Inspected and baited,6141 S EVANS AVE,60637,1182277.72012708,1864453.36527323,20,3,42,41.78327835509478,-87.60724939961041,"{'latitude': '41.78327835509478', 'longitude': '-87.60724939961041', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004442,Rodent Baiting/Rat Complaint,1,5,1,Dispatch Crew,Inspected and baited,1921 W PRATT BLVD,60626,1162253.62021731,1945181.80589126,49,24,1,42.00524419283247,-87.67840515762241,"{'latitude': '42.00524419283247', 'longitude': '-87.67840515762241', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004672,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Inspected and baited,7900 S ST LOUIS AVE,60652,1154422.0000137,1851970.97079265,18,8,70,41.74962478879661,-87.70971004685173,"{'latitude': '41.74962478879661', 'longitude': '-87.70971004685173', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004877,Rodent Baiting/Rat Complaint,1,4,1,Dispatch Crew,Inspected and baited,8609 S CARPENTER ST,60620,1170820.37771567,1847728.97467204,21,6,71,41.73764231098927,-87.64974291943673,"{'latitude': '41.73764231098927', 'longitude': '-87.64974291943673', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-05T00:00:00,12-00004923,Rodent Baiting/Rat Complaint,1,4,1,Dispatch Crew,Inspected and baited,1536 N LEAMINGTON AVE,60651,1141758.06002915,1909728.01581288,37,25,25,41.908361313337295,-87.75469120338929,"{'latitude': '41.908361313337295', 'longitude': '-87.75469120338929', 'needs_recoding': False}"
2012-01-02T00:00:00,Completed,2012-01-09T00:00:00,12-00004265,Rodent Baiting/Rat Complaint,0,2,3,Dispatch Crew,Inspected and baited,3416 W FRANKLIN BLVD,60624,1153517.86208544,1903123.71942083,27,11,23,41.890012680451925,-87.71166703379666,"{'latitude': '41.890012680451925', 'longitude': '-87.71166703379666', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed - Dup,2013-01-04T00:00:00,13-00007753,Rodent Baiting/Rat Complaint,,,,,,3239 N HOYNE AVE,60618,1161780.38630911,1921610.58419879,32,19,5,41.940573671905625,-87.68080675294898,"{'latitude': '41.940573671905625', 'longitude': '-87.68080675294898', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed - Dup,2013-01-04T00:00:00,13-00008493,Rodent Baiting/Rat Complaint,,,,,,3432 N NARRAGANSETT AVE,60634,1133086.39461448,1922272.83010823,36,16,17,41.94294187988502,-87.78625309968962,"{'latitude': '41.94294187988502', 'longitude': '-87.78625309968962', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed - Dup,2013-01-07T00:00:00,13-00002532,Rodent Baiting/Rat Complaint,,,,,,3114 W LYNDALE ST,60647,1155252.71791333,1914923.60598157,35,14,22,41.92235794104747,-87.70497840013834,"{'latitude': '41.92235794104747', 'longitude': '-87.70497840013834', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-03T00:00:00,13-00003210,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,Completed,6441 N NORTHWEST HWY,60631,1127009.40027197,1942220.88837196,41,16,9,41.99778574511633,-87.80814001224175,"{'latitude': '41.99778574511633', 'longitude': '-87.80814001224175', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-03T00:00:00,13-00006651,Rodent Baiting/Rat Complaint,0,10,0,Dispatch Crew,"Area inspected, no cause and no baiting",216 W OHIO ST,60654,1174567.77810009,1904150.38572945,42,18,8,41.892385403446035,-87.6343320081671,"{'latitude': '41.892385403446035', 'longitude': '-87.6343320081671', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-04T00:00:00,13-00001945,Rodent Baiting/Rat Complaint,1,2,1,Dispatch Crew,Inspected and baited,7119 N MASON AVE,60646,1136211.5308022,1946978.09002384,41,16,12,42.01067999666089,-87.77417378515052,"{'latitude': '42.01067999666089', 'longitude': '-87.77417378515052', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-04T00:00:00,13-00001983,Rodent Baiting/Rat Complaint,0,5,0,Dispatch Crew,Inspected and baited,3751 N LAMON AVE,60641,1143004.61311803,1924584.49418611,45,16,15,41.94910580819529,-87.74974047025187,"{'latitude': '41.94910580819529', 'longitude': '-87.74974047025187', 'needs_recoding': False}"
2013-01-02T00:00:00,Completed,2013-01-04T00:00:00,13-00003264,Rodent Baiting/Rat Complaint,1,6,1,Dispatch Crew,Inspected and baited,3835 N BELL AVE,60618,1160681.93817523,1925428.64260423,47,19,5,41.95107351965533,-87.6847377472857,"{'latitude': '41.95107351965533', 'longitude': '-87.6847377472857', 'needs_recoding': False}"
