Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,"If Yes, where is the debris located?",Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
2011-01-03T00:00:00,Completed,2011-01-05T00:00:00,11-00009093,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4812 N KILPATRICK AVE,60630,1144125.41998033,1931592.98981829,39,17,14,41.968316689232914,-87.74544377475121,"{'latitude': '41.968316689232914', 'longitude': '-87.74544377475121', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-05T00:00:00,11-00009558,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,134 W 83RD ST,60620,1176713.99822642,1849946.9642033,21,6,44,41.743598259743116,-87.62808375998563,"{'latitude': '41.743598259743116', 'longitude': '-87.62808375998563', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-06T00:00:00,11-00006797,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,9215 S SANGAMON ST,60620,1171614.1400087,1843677.02990308,21,22,73,41.72650587128406,-87.64695317415047,"{'latitude': '41.72650587128406', 'longitude': '-87.64695317415047', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-06T00:00:00,11-00008388,Tree Debris,,Dispatch Clam,Completed,7818 W BRYN MAWR AVE,60631,1123234.51806883,1936229.39457493,41,16,10,41.98140715770196,-87.8221583301063,"{'latitude': '41.98140715770196', 'longitude': '-87.8221583301063', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-06T00:00:00,11-00009060,Tree Debris,,Dispatch Clam,*Complete the Service Request,10800 S AVENUE D,60617,1204130.1692157,1833954.41106697,10,4,52,41.69905307426229,-87.52817915113096,"{'latitude': '41.69905307426229', 'longitude': '-87.52817915113096', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-07T00:00:00,11-00008804,Tree Debris,,Dispatch Clam,*Complete the Service Request,9554 S CALHOUN AVE,60617,1194703.82001843,1841909.41241263,7,4,51,41.721119017567126,-87.56243258249907,"{'latitude': '41.721119017567126', 'longitude': '-87.56243258249907', 'needs_recoding': False}"
2011-01-03T00:00:00,Completed,2011-01-07T00:00:00,11-00009084,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,3436 W 84TH ST,60652,1154939.64201653,1848676.69799656,18,8,70,41.74057444386996,-87.70790091169197,"{'latitude': '41.74057444386996', 'longitude': '-87.70790091169197', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-03T00:00:00,12-00005246,Tree Debris,Parkway,,,5319 N NEWLAND AVE,60656,1129344.42001521,1934922.80997002,41,16,10,41.97771950408744,-87.79971740974626,"{'latitude': '41.97771950408744', 'longitude': '-87.79971740974626', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-03T00:00:00,12-00010557,Tree Debris,,Dispatch Clam,Completed,8500 S ABERDEEN ST,60620,1170468.64930811,1848443.38991851,21,6,71,41.739610424805655,-87.65101080556585,"{'latitude': '41.739610424805655', 'longitude': '-87.65101080556585', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00006081,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,3622 W 61ST PL,60629,1153239.26258404,1863589.57012618,13,8,65,41.781531526743315,-87.71373745041171,"{'latitude': '41.781531526743315', 'longitude': '-87.71373745041171', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00006231,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,5217 W MONROE ST,60644,1141614.43568183,1899162.42868026,29,15,25,41.87937073909373,-87.75548021421714,"{'latitude': '41.87937073909373', 'longitude': '-87.75548021421714', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00006483,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,10516 S CHRISTIANA AVE,60655,1155859.95739789,1834800.42740385,19,22,74,41.702477106515175,-87.70490006657113,"{'latitude': '41.702477106515175', 'longitude': '-87.70490006657113', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00007615,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,5437 W MONROE ST,60644,1140257.52531244,1899130.50270911,29,15,25,41.879308092267514,-87.76046342424125,"{'latitude': '41.879308092267514', 'longitude': '-87.76046342424125', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009178,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,4811 W GUNNISON ST,60630,1143414.5055172,1931812.10422285,45,16,12,41.968931312774544,-87.74805229421425,"{'latitude': '41.968931312774544', 'longitude': '-87.74805229421425', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009187,Tree Debris,Parkway,,,9805 S CALHOUN AVE,60617,1194737.50392921,1840437.95689743,7,4,51,41.71708037749574,-87.56235747248427,"{'latitude': '41.71708037749574', 'longitude': '-87.56235747248427', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009282,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,2851 W GREENLEAF AVE,60645,1156106.31482034,1946627.04022415,50,24,2,42.009336780194516,-87.70098229051078,"{'latitude': '42.009336780194516', 'longitude': '-87.70098229051078', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009395,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,1348 N MASON AVE,60651,1136446.17887112,1908361.77297179,29,25,25,41.90470884920842,-87.77423742201813,"{'latitude': '41.90470884920842', 'longitude': '-87.77423742201813', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009449,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,3448 N NEWCASTLE AVE,60634,1130139.25329612,1922159.00640822,36,16,17,41.94268063837598,-87.79708810685591,"{'latitude': '41.94268063837598', 'longitude': '-87.79708810685591', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009526,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,11520 S MORGAN ST,60643,1171724.3693809,1828359.46000395,34,5,53,41.68446971693042,-87.64699658372662,"{'latitude': '41.68446971693042', 'longitude': '-87.64699658372662', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009809,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,8355 S ADA ST,60620,1168783.85768698,1849355.30178488,21,6,71,41.74214933013097,-87.65715737106943,"{'latitude': '41.74214933013097', 'longitude': '-87.65715737106943', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00009967,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,7163 N OZARK AVE,60631,1123757.37999537,1946876.84771985,41,16,9,42.01061625450764,-87.82000061062487,"{'latitude': '42.01061625450764', 'longitude': '-87.82000061062487', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-04T00:00:00,12-00010026,Tree Debris,Alley,,,9333 S CRANDON AVE,60617,1193135.93990163,1843528.69207123,7,4,48,41.72560085951193,-87.56812257403388,"{'latitude': '41.72560085951193', 'longitude': '-87.56812257403388', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-05T00:00:00,12-00006765,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,1253 W 107TH PL,60643,1169859.33240467,1833483.92009103,34,22,75,41.69857263980546,-87.65367593675897,"{'latitude': '41.69857263980546', 'longitude': '-87.65367593675897', 'needs_recoding': False}"
2012-01-03T00:00:00,Completed,2012-01-05T00:00:00,12-00008626,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,7941 S ARTESIAN AVE,60652,1161424.93996825,1851902.79117201,18,8,70,41.749295544030716,-87.68405006329523,"{'latitude': '41.749295544030716', 'longitude': '-87.68405006329523', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-03T00:00:00,13-00013650,Tree Debris,,,,1302 E 73RD ST,60619,1186162.34738136,1856861.61938056,5,3,43,41.76235504004653,-87.59324676872647,"{'latitude': '41.76235504004653', 'longitude': '-87.59324676872647', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00009192,Tree Debris,Vacant Lot,Dispatch Clam,*Complete the Service Request,4362 S EMERALD AVE,60609,1172032.27247412,1875821.18219013,11,9,61,41.81470411838685,-87.64447843659521,"{'latitude': '41.81470411838685', 'longitude': '-87.64447843659521', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00011786,Tree Debris,,Dispatch Clam,*Complete the Service Request,10755 S HOXIE AVE,60617,1195227.07022223,1834202.41143262,10,4,51,41.699957385297175,-87.56076933685046,"{'latitude': '41.699957385297175', 'longitude': '-87.56076933685046', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00011799,Tree Debris,,Dispatch Clam,*Complete the Service Request,10916 S AVENUE M,60617,1201536.83688062,1833184.57306871,10,4,52,41.697006706849365,-87.53770053185707,"{'latitude': '41.697006706849365', 'longitude': '-87.53770053185707', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00012801,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4529 S LAWLER AVE,60638,1143453.12950865,1874135.28197854,23,8,56,41.81065858275826,-87.74935361489813,"{'latitude': '41.81065858275826', 'longitude': '-87.74935361489813', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00013095,Tree Debris,,Dispatch Clam,*Complete the Service Request,10536 S TALMAN AVE,60655,1160428.22060824,1834663.81019541,19,22,72,41.70200951041691,-87.6881759062358,"{'latitude': '41.70200951041691', 'longitude': '-87.6881759062358', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00013331,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,5403 W RICE ST,60651,1140136.77150233,1905140.38998414,37,15,25,41.89580218504024,-87.76075957344217,"{'latitude': '41.89580218504024', 'longitude': '-87.76075957344217', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00013538,Tree Debris,Vacant Lot,Dispatch Clam,*Complete the Service Request,1115 E 82ND ST,60619,1185128.17512678,1850849.448904,8,4,45,41.74588140143498,-87.59722564091074,"{'latitude': '41.74588140143498', 'longitude': '-87.59722564091074', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00013613,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4338 S ELLIS AVE,60653,1183651.87570026,1876451.79938557,4,2,39,41.816171070156045,-87.60183699154905,"{'latitude': '41.816171070156045', 'longitude': '-87.60183699154905', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00013766,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,747 N LOTUS AVE,60644,1139778.40369485,1904432.32907368,37,15,25,41.89386573468826,-87.76209311332548,"{'latitude': '41.89386573468826', 'longitude': '-87.76209311332548', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-04T00:00:00,13-00014243,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,7522 S UNION AVE,60620,1172934.80590467,1855042.76327165,17,6,68,41.757665942248856,-87.6417808737612,"{'latitude': '41.757665942248856', 'longitude': '-87.6417808737612', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-08T00:00:00,13-00009762,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,314 E 53RD ST,60615,1179091.25756871,1869942.97667538,3,2,40,41.798415612322344,-87.61876464249298,"{'latitude': '41.798415612322344', 'longitude': '-87.61876464249298', 'needs_recoding': False}"
2013-01-03T00:00:00,Completed,2013-01-23T00:00:00,13-00013773,Tree Debris,Vacant Lot,Dispatch Clam,Owner Responsibility,5229 W OHIO ST,60644,1141257.26017514,1903465.76579461,28,15,25,41.89118622187279,-87.75668554369689,"{'latitude': '41.89118622187279', 'longitude': '-87.75668554369689', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-04T00:00:00,11-00017398,Tree Debris,,Dispatch Clam,*Complete the Service Request,9500 S VINCENNES AVE,60643,1170623.54738379,1841797.3570135,21,22,73,41.72136939332023,-87.65063641641437,"{'latitude': '41.72136939332023', 'longitude': '-87.65063641641437', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-05T00:00:00,11-00013998,Tree Debris,Vacant Lot,Dispatch Clam,*Complete the Service Request,1605 S RIDGEWAY AVE,60623,1151635.26409614,1891750.01359626,24,10,29,41.85883919625097,-87.71887983997954,"{'latitude': '41.85883919625097', 'longitude': '-87.71887983997954', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-05T00:00:00,11-00014141,Tree Debris,Alley,Dispatch Clam,Owner Responsibility,5480 S KENWOOD AVE,60615,1186025.56180096,1868998.98221936,4,21,41,41.79566422466143,-87.59336530465056,"{'latitude': '41.79566422466143', 'longitude': '-87.59336530465056', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-05T00:00:00,11-00015977,Tree Debris,Parkway,Dispatch Clam,,3925 N CUMBERLAND AVE,60634,1119363.13412381,1925010.16370522,36,16,17,41.95068274397061,-87.83663567271857,"{'latitude': '41.95068274397061', 'longitude': '-87.83663567271857', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-05T00:00:00,11-00017454,Tree Debris,Parkway,Dispatch Clam,,6207 N LENOX AVE,60646,1141503.44992693,1940967.88532107,45,16,12,41.99409109105458,-87.7548519277183,"{'latitude': '41.99409109105458', 'longitude': '-87.7548519277183', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-05T00:00:00,11-00018598,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,7036 S WABASH AVE,60637,1177942.48607825,1858376.4886205,6,3,69,41.766702124623095,-87.6233276218623,"{'latitude': '41.766702124623095', 'longitude': '-87.6233276218623', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-06T00:00:00,11-00012773,Tree Debris,,Dispatch Clam,*Complete the Service Request,2023 W 69TH PL,60636,1164070.63231873,1858566.70010064,17,7,67,41.76752706319924,-87.67416804539198,"{'latitude': '41.76752706319924', 'longitude': '-87.67416804539198', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-06T00:00:00,11-00018090,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,3407 W 73RD PL,60629,1154945.58381935,1855664.48010824,18,8,66,41.75974994708636,-87.7076929730623,"{'latitude': '41.75974994708636', 'longitude': '-87.7076929730623', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-06T00:00:00,11-00018402,Tree Debris,Parkway,,,2131 W EVERGREEN AVE,60622,1161947.20776804,1908997.93000259,32,14,24,41.90596022304782,-87.68054651395143,"{'latitude': '41.90596022304782', 'longitude': '-87.68054651395143', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-06T00:00:00,11-00018671,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,7818 S MUSKEGON AVE,60649,1196480.80377419,1853674.09149657,7,4,43,41.75335840115226,-87.55553455276788,"{'latitude': '41.75335840115226', 'longitude': '-87.55553455276788', 'needs_recoding': False}"
2011-01-04T00:00:00,Completed,2011-01-10T00:00:00,11-00015479,Tree Debris,,Dispatch Clam,*Complete the Service Request,3358 N KILBOURN AVE,60641,1145786.59167159,1921948.8703124,30,17,16,41.941820992009745,-87.73958136290628,"{'latitude': '41.941820992009745', 'longitude': '-87.73958136290628', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed - Dup,2012-01-04T00:00:00,12-00012824,Tree Debris,Parkway,,,9742 S LUELLA AVE,60617,1192905.26869877,1840596.29253425,7,4,51,41.717559694087306,-87.56906287761065,"{'latitude': '41.717559694087306', 'longitude': '-87.56906287761065', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed - Dup,2012-01-04T00:00:00,12-00014061,Tree Debris,Vacant Lot,,,1437 S SPRINGFIELD AVE,60623,1150611.35666745,1892845.66466881,24,10,29,41.861865839659046,-87.7226096802855,"{'latitude': '41.861865839659046', 'longitude': '-87.7226096802855', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed - Dup,2012-01-05T00:00:00,12-00015155,Tree Debris,Parkway,,,4433 S SHIELDS AVE,60609,1174718.02906598,1875445.3192768,3,9,37,41.81361321346711,-87.6346379984324,"{'latitude': '41.81361321346711', 'longitude': '-87.6346379984324', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed - Dup,2012-01-05T00:00:00,12-00016377,Tree Debris,Alley,,,3661 S MICHIGAN AVE,60653,1177796.32048259,1880773.92997428,3,2,35,41.82816612866352,-87.6231851626906,"{'latitude': '41.82816612866352', 'longitude': '-87.6231851626906', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed - Dup,2012-01-06T00:00:00,12-00012353,Tree Debris,,,,1515 W ARTHUR AVE,60626,1164934.55651162,1943265.98773036,40,24,1,41.99993044634179,-87.66859655688965,"{'latitude': '41.99993044634179', 'longitude': '-87.66859655688965', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-04T00:00:00,12-00017394,Tree Debris,,Dispatch Clam,Completed,2400 N NARRAGANSETT AVE,60639,1133351.73586923,1915254.44483337,36,25,19,41.92367797549949,-87.78544267543498,"{'latitude': '41.92367797549949', 'longitude': '-87.78544267543498', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00011599,Tree Debris,Vacant Lot,Dispatch Clam,*Complete the Service Request,7243 S MARSHFIELD AVE,60636,1166596.19009789,1856676.42526689,17,7,67,41.76228641002526,-87.66496459409885,"{'latitude': '41.76228641002526', 'longitude': '-87.66496459409885', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00011606,Tree Debris,Vacant Lot,Dispatch Clam,*Complete the Service Request,7304 S ASHLAND AVE,60636,1166948.66957891,1856266.32982682,17,7,67,41.761153530175214,-87.6636844073798,"{'latitude': '41.761153530175214', 'longitude': '-87.6636844073798', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00012819,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,9650 S LUELLA AVE,60617,1192937.319484,1841964.51346799,7,4,51,41.721313445759925,-87.56890099530565,"{'latitude': '41.721313445759925', 'longitude': '-87.56890099530565', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00012943,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,9329 S GREENWOOD AVE,60619,1185176.24507935,1843221.81249299,8,4,47,41.724949213183656,-87.59728852981141,"{'latitude': '41.724949213183656', 'longitude': '-87.59728852981141', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00013000,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4123 W MADISON ST,60624,1148906.80022554,1899693.13088263,28,11,26,41.88068919099959,-87.72868982447744,"{'latitude': '41.88068919099959', 'longitude': '-87.72868982447744', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00013604,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,1463 W 114TH PL,60643,1168454.81417213,1828805.48642871,34,22,75,41.68576454380431,-87.65895271797534,"{'latitude': '41.68576454380431', 'longitude': '-87.65895271797534', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00013662,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,8243 S CARPENTER ST,60620,1170750.65561128,1850154.50902421,21,6,71,41.7442998288219,-87.64992779116304,"{'latitude': '41.7442998288219', 'longitude': '-87.64992779116304', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00014561,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,144 N LOTUS AVE,60644,1139927.48332888,1900536.53781251,28,15,25,41.883172471993745,-87.76164091051619,"{'latitude': '41.883172471993745', 'longitude': '-87.76164091051619', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00015073,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4436 S SHIELDS AVE,60609,1174718.52906598,1875426.8192768,3,9,37,41.813562436586245,-87.63463671614501,"{'latitude': '41.813562436586245', 'longitude': '-87.63463671614501', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00015137,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4433 S SHIELDS AVE,60609,1174718.02906598,1875445.3192768,3,9,37,41.81361321346711,-87.6346379984324,"{'latitude': '41.81361321346711', 'longitude': '-87.6346379984324', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00015182,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4454 S PRINCETON AVE,60609,1175033.8896959,1875324.22732258,3,9,37,41.81327387286161,-87.63348302508494,"{'latitude': '41.81327387286161', 'longitude': '-87.63348302508494', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00015260,Tree Debris,Parkway,Dispatch Clam,*Complete the Service Request,546 W 66TH ST,60621,1173763.53697411,1861138.07052375,20,7,68,41.77437386579226,-87.63856325248294,"{'latitude': '41.77437386579226', 'longitude': '-87.63856325248294', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00015264,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4365 S SHIELDS AVE,60609,1174703.38638952,1875938.80019514,3,9,37,41.81496769765822,-87.63467699173705,"{'latitude': '41.81496769765822', 'longitude': '-87.63467699173705', 'needs_recoding': False}"
2012-01-04T00:00:00,Completed,2012-01-05T00:00:00,12-00015327,Tree Debris,Alley,Dispatch Clam,*Complete the Service Request,4403 S SHIELDS AVE,60609,1174710.1361274,1875722.41991969,3,9,37,41.81437377952041,-87.63465868616416,"{'latitude': '41.81437377952041', 'longitude': '-87.63465868616416', 'needs_recoding': False}"
