Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
2011-01-01T00:00:00,Completed,2011-01-11T00:00:00,11-00003470,Abandoned Vehicle Complaint,8512402,Ford,White,Place 7 Day Sticker,Follow on Activity was created,45,2852 N KENNETH AVE,60641,1146225.00662107,1918593.2178075,31,25,20,,41.933207404151666,-87.73822256151371,"{'latitude': '41.933207404151666', 'longitude': '-87.73822256151371', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-12T00:00:00,11-00000410,Abandoned Vehicle Complaint,25Z1 (INDIANA),Chevrolet,Black,Place 7 Day Sticker,Follow on Activity was created,,1230 W WELLINGTON AVE,60657,1167570.46771761,1920056.11797956,32,19,6,27,41.93628714510941,-87.66008738380121,"{'latitude': '41.93628714510941', 'longitude': '-87.66008738380121', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-12T00:00:00,11-00002799,Abandoned Vehicle Complaint,A795617,Nissan,Silver,Place 7 Day Sticker,Follow on Activity was created,28,3133 N OKETO AVE,60707,1126206.67413146,1919999.85689328,36,25,17,,41.93719591652278,-87.81145646178759,"{'latitude': '41.93719591652278', 'longitude': '-87.81145646178759', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-20T00:00:00,11-00000497,Abandoned Vehicle Complaint,E173723,Chevrolet,Silver,Place 7 Day Sticker,Follow on Activity was created,7,1713 W SCHREIBER AVE,60626,1163793.38001403,1942975.95100106,40,24,1,,41.99904741335388,-87.67288537602718,"{'latitude': '41.99904741335388', 'longitude': '-87.67288537602718', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-20T00:00:00,11-00002860,Abandoned Vehicle Complaint,K127944,Acura,Blue,Place 7 Day Sticker,Follow on Activity was created,60,1651 W BALMORAL AVE,60640,1164343.53649204,1935926.76681264,40,20,77,,41.979682110970245,-87.67173934170866,"{'latitude': '41.979682110970245', 'longitude': '-87.67173934170866', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-20T00:00:00,11-00002865,Abandoned Vehicle Complaint,H924642,Chevrolet,Green,Place 7 Day Sticker,Follow on Activity was created,10,5959 S MOZART ST,60629,1158398.54086808,1865000.6328699,16,8,66,59,41.784657761433195,-87.69461800001926,"{'latitude': '41.784657761433195', 'longitude': '-87.69461800001926', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-27T00:00:00,11-00001787,Abandoned Vehicle Complaint,K701379,Nissan,Maroon,Place 7 Day Sticker,Follow on Activity was created,21,2330 S SPRINGFIELD AVE,60623,1150738.8099937,1888164.13999958,22,10,30,,41.848875891352826,-87.72238847723132,"{'latitude': '41.848875891352826', 'longitude': '-87.72238847723132', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-01-27T00:00:00,11-00002615,Abandoned Vehicle Complaint,61635FF,Dodge,Gray,Place 7 Day Sticker,Follow on Activity was created,7,2922 W CHASE AVE,60645,1155661.42000319,1948258.03761618,50,24,2,,42.013921061398236,-87.70297935118228,"{'latitude': '42.013921061398236', 'longitude': '-87.70297935118228', 'needs_recoding': False}"
2011-01-01T00:00:00,Completed,2011-02-14T00:00:00,11-00002214,Abandoned Vehicle Complaint,UNKNOWN,Buick,Green,Place 7 Day Sticker,Follow on Activity was created,7,833 N RIDGEWAY AVE,60651,1151235.11402281,1905301.48987768,27,11,23,63,41.89642500002708,-87.71985886294362,"{'latitude': '41.89642500002708', 'longitude': '-87.71985886294362', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed - Dup,2012-01-18T00:00:00,12-00001809,Abandoned Vehicle Complaint,L67 6679,Mitsubishi,White,FVI - Outcome,Create Work Order,,5458 N MAGNOLIA AVE,60640,1166979.37641375,1936391.13059749,48,20,77,,41.98168481888677,-87.6614376314894,"{'latitude': '41.98168481888677', 'longitude': '-87.6614376314894', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-18T00:00:00,12-00001808,Abandoned Vehicle Complaint,L676679,Mitsubishi,White,FVI - Outcome,Need Vehicle Tow Report,7,5458 N MAGNOLIA AVE,60640,,,48,20,77,,41.98168481888677,-87.6614376314894,"{'latitude': '41.98168481888677', 'longitude': '-87.6614376314894', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-18T00:00:00,12-00002375,Abandoned Vehicle Complaint,TEMP IL 547N399,Pontiac,Maroon,FVI - Outcome,Vehicle was moved from original address requested,,4340 N ST LOUIS AVE,60618,,,33,17,16,60,41.960498050626114,-87.71571519370534,"{'latitude': '41.960498050626114', 'longitude': '-87.71571519370534', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-24T00:00:00,12-00003060,Abandoned Vehicle Complaint,XGB1994,Dodge,Silver,FVI - Outcome,Vehicle was moved from original address requested,30,12645 S SAGINAW AVE,60633,,,10,4,55,,41.665119544346794,-87.55790433667556,"{'latitude': '41.665119544346794', 'longitude': '-87.55790433667556', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-25T00:00:00,12-00002272,Abandoned Vehicle Complaint,96EY37,Subaru,Green,FVI - Outcome,Vehicle was moved from original address requested,42,841 W DICKENS AVE,60614,,,43,18,7,,41.91986098033219,-87.65018237804202,"{'latitude': '41.91986098033219', 'longitude': '-87.65018237804202', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-27T00:00:00,12-00003033,Abandoned Vehicle Complaint,LL31 5113,Buick,Gold,FVI - Outcome,Vehicle was moved from original address requested,,1625 N CENTRAL PARK AVE,60647,,,26,14,23,,41.91075278580954,-87.71642386861903,"{'latitude': '41.91075278580954', 'longitude': '-87.71642386861903', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-30T00:00:00,12-00002046,Abandoned Vehicle Complaint,CYA270,Saturn,Green,FVI - Outcome,Return to Owner - Vehicle,30,5533 W WINDSOR AVE,60630,,,45,16,15,,41.96317932387271,-87.76622011314728,"{'latitude': '41.96317932387271', 'longitude': '-87.76622011314728', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-01-31T00:00:00,12-00002431,Abandoned Vehicle Complaint,L293751,Toyota,Black,FVI - Outcome,Need Vehicle Tow Report,7,4434 W ALTGELD ST,60639,,,31,25,20,,41.926446851801614,-87.738050330742,"{'latitude': '41.926446851801614', 'longitude': '-87.738050330742', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-02-09T00:00:00,12-00003021,Abandoned Vehicle Complaint,ARW0321,General Motors Corp.,Black,FVI - Outcome,Vehicle was moved from original address requested,7,190 E LAKE ST,60601,,,42,1,32,,41.88589384730678,-87.62239014744094,"{'latitude': '41.88589384730678', 'longitude': '-87.62239014744094', 'needs_recoding': False}"
2012-01-01T00:00:00,Completed,2012-02-09T00:00:00,12-00003022,Abandoned Vehicle Complaint,A930293,Nissan,Blue,FVI - Outcome,Vehicle was moved from original address requested,7,190 E LAKE ST,60601,,,42,1,32,,41.88589384730678,-87.62239014744094,"{'latitude': '41.88589384730678', 'longitude': '-87.62239014744094', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-01-16T00:00:00,13-00001240,Abandoned Vehicle Complaint,AKFD56,Saturn,White,FVI - Outcome,Create Work Order,60,2836 W ARMITAGE AVE,60647,1157002.00990777,1913157.74340735,35,14,22,,41.917586416517665,-87.69863598577935,"{'latitude': '41.917586416517665', 'longitude': '-87.69863598577935', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-01-17T00:00:00,13-00000814,Abandoned Vehicle Complaint,L641142,Audi,Black,FVI - Outcome,Create Work Order,30,2947 W BELDEN AVE,60647,1156303.22568451,1915262.62328834,35,14,22,,41.92315144667159,-87.70174222071459,"{'latitude': '41.92315144667159', 'longitude': '-87.70174222071459', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-01-23T00:00:00,13-00000334,Abandoned Vehicle Complaint,36936Z,(Unlisted Make),Maroon,FVI - Outcome,Create Work Order,30,1059 N LAVERGNE AVE,60651,1142833.01200322,1906658.73000489,37,15,25,,41.900423310094624,-87.75068251027527,"{'latitude': '41.900423310094624', 'longitude': '-87.75068251027527', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-01-25T00:00:00,13-00001467,Abandoned Vehicle Complaint,7649934,Kia Motors Corp,Black,FVI - Outcome,Create Work Order,60,6823 S CLAREMONT AVE,60636,1161910.4738832,1859356.50241434,17,8,66,14,41.76945357682535,-87.6819098521912,"{'latitude': '41.76945357682535', 'longitude': '-87.6819098521912', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-02-04T00:00:00,13-00001003,Abandoned Vehicle Complaint,G214166,Chevrolet,Green,FVI - Outcome,Create Work Order,36,1944 N SPAULDING AVE,60647,1153832.60810796,1912724.13402795,35,14,22,,41.916868997463425,-87.71042840163975,"{'latitude': '41.916868997463425', 'longitude': '-87.71042840163975', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed - Dup,2013-02-14T00:00:00,13-00000744,Abandoned Vehicle Complaint,a16 0782,Nissan,Cream,Place 7 Day Sticker,Follow on Activity was created,90,1812 W MORSE AVE,60626,1162889.72981184,1946094.66740217,49,24,1,,42.007840990450724,-87.67633327153588,"{'latitude': '42.007840990450724', 'longitude': '-87.67633327153588', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-14T00:00:00,13-00001278,Abandoned Vehicle Complaint,NONE,Volvo,Black,Place 7 Day Sticker,Follow on Activity was created,21,3922 W 58TH ST,60629,1151214.5932012,1865854.29231137,13,8,62,3,41.787889786340706,-87.7215190780695,"{'latitude': '41.787889786340706', 'longitude': '-87.7215190780695', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-15T00:00:00,13-00000561,Abandoned Vehicle Complaint,7527716,Dodge,White,FVI - Outcome,Vehicle was moved from original address requested,10,545 W ADDISON ST,60613,1171660.06719144,1924509.24871797,46,19,6,,41.94798292906153,-87.64503629815285,"{'latitude': '41.94798292906153', 'longitude': '-87.64503629815285', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-16T00:00:00,13-00000396,Abandoned Vehicle Complaint,P113991,Volkswagen,Orange,Place 7 Day Sticker,Follow on Activity was created,14,6233 W 64TH PL,60638,1135976.80559084,1861100.5815331,13,8,64,,41.77490429340366,-87.77760208301592,"{'latitude': '41.77490429340366', 'longitude': '-87.77760208301592', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-22T00:00:00,13-00001203,Abandoned Vehicle Complaint,K853251,"Monon Trailer, Div. Of Evans Products Co.",White,FVI - Outcome,Vehicle was moved from original address requested,21,6003 S RUTHERFORD AVE,60638,,,23,8,64,,41.78289820559667,-87.78986246224392,"{'latitude': '41.78289820559667', 'longitude': '-87.78986246224392', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-29T00:00:00,13-00001481,Abandoned Vehicle Complaint,TEMP PLATE,Mitsubishi,Beige,FVI - Outcome,Vehicle was moved from original address requested,14,6537 S FRANCISCO AVE,60629,,,15,8,66,,41.77432483224977,-87.69556254521494,"{'latitude': '41.77432483224977', 'longitude': '-87.69556254521494', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-01-30T00:00:00,13-00001897,Abandoned Vehicle Complaint,883JTH,Lexus,Green,FVI - Outcome,Vehicle was moved from original address requested,10,2620 S WABASH AVE,60616,,,2,1,35,,41.84499482577773,-87.62545633813204,"{'latitude': '41.84499482577773', 'longitude': '-87.62545633813204', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-13T00:00:00,13-00001013,Abandoned Vehicle Complaint,K746982,Jeep - Year Greater 1988,Blue,Place 7 Day Sticker,Follow on Activity was created,30,1942 N SPAULDING AVE,60647,1153832.90810796,1912710.73402795,35,14,22,,41.916778140192754,-87.71042533063869,"{'latitude': '41.916778140192754', 'longitude': '-87.71042533063869', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-15T00:00:00,13-00000937,Abandoned Vehicle Complaint,N127624,Mercury,Tan,FVI - Outcome,Vehicle was moved from original address requested,30,3912 N CLAREMONT AVE,60618,1160006.54322025,1925921.26549933,47,19,5,38,41.95264508676729,-87.68736159624167,"{'latitude': '41.95264508676729', 'longitude': '-87.68736159624167', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-15T00:00:00,13-00001078,Abandoned Vehicle Complaint,NO PLATES,Buick,White,Place 7 Day Sticker,Follow on Activity was created,20,10042 S EBERHART AVE,60628,1181347.91011709,1838487.63710135,9,5,49,,41.7115392065736,-87.61159065299319,"{'latitude': '41.7115392065736', 'longitude': '-87.61159065299319', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-15T00:00:00,13-00001328,Abandoned Vehicle Complaint,A90 3266,Toyota,Green,FVI - Outcome,Vehicle was moved from original address requested,35,2018 W GREENLEAF AVE,60645,1161546.55471378,1946939.4547919,49,24,1,,42.01019105683489,-87.6810031564372,"{'latitude': '42.01019105683489', 'longitude': '-87.6810031564372', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-15T00:00:00,13-00001575,Abandoned Vehicle Complaint,N412875,Chevrolet,Red,Place 7 Day Sticker,Follow on Activity was created,7,11215 S AVENUE G,60617,1203203.29740249,1831212.6142178,10,4,52,,41.69135523038437,-87.53152072163753,"{'latitude': '41.69135523038437', 'longitude': '-87.53152072163753', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-18T00:00:00,13-00001104,Abandoned Vehicle Complaint,8061123,Honda,Blue,FVI - Outcome,Return to Owner - Vehicle,60,6033 N CLAREMONT AVE,60659,1159560.80011633,1940010.60569179,40,24,2,,41.9914915253131,-87.68831995601526,"{'latitude': '41.9914915253131', 'longitude': '-87.68831995601526', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-20T00:00:00,13-00001072,Abandoned Vehicle Complaint,P880029,Jaguar,Black,FVI - Outcome,Need Vehicle Tow Report,12,7958 S RHODES AVE,60619,,,6,6,44,51,41.74944245242032,-87.61139031512668,"{'latitude': '41.74944245242032', 'longitude': '-87.61139031512668', 'needs_recoding': False}"
2013-01-01T00:00:00,Completed,2013-02-25T00:00:00,13-00000782,Abandoned Vehicle Complaint,H799996,Ford,Blue,Place 7 Day Sticker,Follow on Activity was created,42,2442 W PENSACOLA AVE,60618,1159229.88479929,1928814.15012614,47,19,5,38,41.96050141676344,-87.69036818027857,"{'latitude': '41.96050141676344', 'longitude': '-87.69036818027857', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-20T00:00:00,11-00004111,Abandoned Vehicle Complaint,DO NOT KNOW IT,Chevrolet,Green,,,14,6236 S KOLIN AVE,60629,1148443.46590994,1862894.03947969,13,8,65,3,41.77923142948398,-87.7314698409219,"{'latitude': '41.77923142948398', 'longitude': '-87.7314698409219', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed - Dup,2011-01-20T00:00:00,11-00004494,Abandoned Vehicle Complaint,82198S,Ford,White,,,30,2451 W CUYLER AVE,60618,1159307.23208739,1926822.82322378,47,19,5,38,41.9548131510413,-87.6905112621917,"{'latitude': '41.9548131510413', 'longitude': '-87.6905112621917', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00003920,Abandoned Vehicle Complaint,OUT OF STATE,Volvo,White,,,,411 W ROSCOE ST,60657,1172688.02630066,1922714.52007772,44,23,6,8,41.94325586900259,-87.64098039940909,"{'latitude': '41.94325586900259', 'longitude': '-87.64098039940909', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00003970,Abandoned Vehicle Complaint,4625247,Chevrolet,White,,,16,1459 W LELAND AVE,60640,1165687.29761024,1931305.58740776,47,23,3,31,41.96698037388258,-87.66646330856483,"{'latitude': '41.96698037388258', 'longitude': '-87.66646330856483', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004326,Abandoned Vehicle Complaint,6773340,Saturn,Black,,,60,4000 N PAULINA ST,60613,1164512.48987559,1926621.80312604,47,19,6,31,41.95435714517448,-87.67077258044404,"{'latitude': '41.95435714517448', 'longitude': '-87.67077258044404', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-05T00:00:00,11-00004355,Abandoned Vehicle Complaint,BHK 5257,Pontiac,Gray,,,,1147 W BARRY AVE,60657,1168003.2728929,1920732.47380584,44,19,6,,41.93791561442802,-87.65833437787285,"{'latitude': '41.93791561442802', 'longitude': '-87.65833437787285', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-06T00:00:00,11-00003899,Abandoned Vehicle Complaint,J898941,Plymouth,Silver,,,14,2335 W 110TH PL,60643,1162761.75198365,1831385.2214189,19,22,75,20,41.69284453496294,-87.68027086072557,"{'latitude': '41.69284453496294', 'longitude': '-87.68027086072557', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-06T00:00:00,11-00004348,Abandoned Vehicle Complaint,H669559,Oldsmobile,Blue,,,14,10045 S AVENUE L,60617,1201814.35211239,1839019.20828523,10,4,52,,41.712599611835216,-87.5363404114899,"{'latitude': '41.712599611835216', 'longitude': '-87.5363404114899', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00003688,Abandoned Vehicle Complaint,451 4234,Dodge,Multi-Color,,,,5403 S RIDGEWAY AVE,60632,1152291.12007305,1868521.91492069,23,8,62,,41.79499445765689,-87.71693366685277,"{'latitude': '41.79499445765689', 'longitude': '-87.71693366685277', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00003759,Abandoned Vehicle Complaint,K54 6936,Ford,Silver,,,,1839 S RIDGEWAY AVE,60623,1151657.74808027,1890823.929102,24,10,29,,41.85594198958187,-87.7186648116853,"{'latitude': '41.85594198958187', 'longitude': '-87.7186648116853', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00003765,Abandoned Vehicle Complaint,X444872,Pontiac,Black,,,,1401 N CAMPBELL AVE,60622,1159485.05377194,1909235.195189,26,14,24,,41.906737895088405,-87.68944002440098,"{'latitude': '41.906737895088405', 'longitude': '-87.68944002440098', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00004022,Abandoned Vehicle Complaint,NO INFO. SNOW IS COVERING IT,Mercedes,Black,,,60,843 N MOZART ST,60622,1157228.66989025,1905586.59343356,26,13,24,,41.89694050195094,-87.69783088181762,"{'latitude': '41.89694050195094', 'longitude': '-87.69783088181762', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00004084,Abandoned Vehicle Complaint,K401847,Cadillac,Maroon,,,14,8936 S BENNETT AVE,60617,1190405.36112264,1846095.95432639,8,4,48,,41.732262882566175,-87.57817726437197,"{'latitude': '41.732262882566175', 'longitude': '-87.57817726437197', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00004242,Abandoned Vehicle Complaint,TEMP PLATE 469M154,Nissan,Black,,,20,8750 S KIMBARK AVE,60619,1186320.88171243,1847132.40001739,8,4,48,,41.73535524578252,-87.59311244985531,"{'latitude': '41.73535524578252', 'longitude': '-87.59311244985531', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-07T00:00:00,11-00004368,Abandoned Vehicle Complaint,NO PLATES,Bmw,Red,,,8,4928 S KILPATRICK AVE,60632,1145858.10440705,1871538.91127222,23,8,56,,41.80311826512958,-87.74073307887254,"{'latitude': '41.80311826512958', 'longitude': '-87.74073307887254', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-10T00:00:00,11-00004073,Abandoned Vehicle Complaint,K397304,Oldsmobile,Gold,Place 7 Day Sticker,Follow on Activity was created,34,857 E 89TH PL,60619,1183518.62001489,1845817.57002511,8,6,44,51,41.73201451455472,-87.60242265748451,"{'latitude': '41.73201451455472', 'longitude': '-87.60242265748451', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-11T00:00:00,11-00003797,Abandoned Vehicle Complaint,DE6J6G,Toyota,Silver,Place 7 Day Sticker,Follow on Activity was created,7,2703 N ALBANY AVE,60647,1155245.05837484,1917807.51197863,35,14,22,,41.930367083272436,-87.70478509111328,"{'latitude': '41.930367083272436', 'longitude': '-87.70478509111328', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-11T00:00:00,11-00003812,Abandoned Vehicle Complaint,NONE,Ford,Blue,Place 7 Day Sticker,Follow on Activity was created,8,3932 W DICKENS AVE,60647,1149749.33811538,1913664.49397159,30,25,22,,41.91911706540156,-87.72557777032536,"{'latitude': '41.91911706540156', 'longitude': '-87.72557777032536', 'needs_recoding': False}"
2011-01-02T00:00:00,Completed,2011-01-11T00:00:00,11-00003814,Abandoned Vehicle Complaint,9620167,Chevrolet,Silver,Place 7 Day Sticker,Follow on Activity was created,30,1040 N ST LOUIS AVE,60651,1152850.91202499,1906709.37752955,27,11,23,,41.90034793056021,-87.71418272488631,"{'latitude': '41.90034793056021', 'longitude': '-87.71418272488631', 'needs_recoding': False}"
